hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|AL,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grove Hill Memorial Hospital,8/1/2024,2.0.0,Grove Hill Memorial Hospital,"295 South Jackson Street, Grove Hill, AL 36451",63-0436871 | AL,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,code | 1,code |1| type,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,,modifiers,standard_charge|[BCBS]|[Alabama] |negotiated_dollar,standard_charge|[Medicare]|[Alabama] |negotiated_dollar,standard_charge|[Aetna]|[Alabama] | negotiated_dollar,standard_charge|[Cigna]|[Alabama] |negotiated_dollar,standard_charge|[Humana]|[Alabama] |negotiated_dollar,standard_charge|[Medicaid]|[Alabama] |negotiated_dollar,standard_charge|[BCBS]|[Alabama]|negotiated_percentage,standard_charge|[Medicare]|[Alabama]|negotiated_percentage,standard_charge|[Aetna]|[Alabama]|negotiated_percentage,standard_charge|[Cigna]|[Alabama]|negotiated_percentage,standard_charge|[Humana]|[Alabama]|negotiated_percentage,standard_charge|[Medicaid]|[Alabama]|negotiated_percentage,standard_charge|[BCBS]|[Alabama]|negotiated_algorithm,standard_charge|[Medicare]|[Alabama]|negotiated_algorithm,standard_charge|[Aetna]|[Alabama]|negotiated_algorithm,standard_charge|[Cigna]|[Alabama]|negotiated_algorithm,standard_charge|[Humana]|[Alabama]|negotiated_algorithm,standard_charge|[Medicaid]|[Alabama]|negotiated_algorithm,standard_charge|min,standard_charge|max,standard_charge|[BCBS] |[Alabama] |methodology,standard_charge|[Medicare] |[Alabama] |methodology,standard_charge|[Aetna] |[Alabama] |methodology,standard_charge|[Cigna] |[Alabama] |methodology,standard_charge|[Humana] |[Alabama] |methodology,standard_charge|[Medicaid] |[Alabama] |methodology,estimated_amount|[BCBS]|[Alabama],estimated_amount|[Medicare]|[Alabama],estimated_amount|[Aetna]|[Alabama],estimated_amount|[Cigna]|[Alabama],estimated_amount|[Humana]|[Alabama],estimated_amount|[Medicaid]|[Alabama],additional_generic_notes,additional_payer_notes|[BCBS]|[Alabama],additional_payer_notes|[Medicare]|[Alabama],additional_payer_notes|[Aetna]|[Alabama],additional_payer_notes|[Cigna]|[Alabama],additional_payer_notes|[Humana]|[Alabama],additional_payer_notes|[Medicaid]|[Alabama]
.GLUCOSE TOL EACH ADD,82952,CPT,Both,,,63,38,,,12.6,12.6,12.6,12.6,12.6,12.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,12.6,47,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,12.6,12.6,12.6,12.6,12.6,12.6,N/A,,,,,,
GRAM STAIN,87205,CPT,Both,,,110,66,,,22,22,22,22,22,22,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,22,83,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,22,22,22,22,22,22,N/A,,,,,,
H PYLORI STOOL ANTIGEN,87338,CPT,Both,,,334,200,,,66.8,66.8,66.8,66.8,66.8,66.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,66.8,251,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,66.8,66.8,66.8,66.8,66.8,66.8,N/A,,,,,,
HAPTOGLOBIN,83010,CPT,Both,,,110,66,,,22,22,22,22,22,22,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,22,83,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,22,22,22,22,22,22,N/A,,,,,,
HEMOGLOBIN ELEC.-OBSTE,83021,CPT,Both,,,143,86,,,28.6,28.6,28.6,28.6,28.6,28.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,28.6,107,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,28.6,28.6,28.6,28.6,28.6,28.6,N/A,,,,,,
HELICOBACTER PYLORI,86677,CPT,Both,,,141,85,,,28.2,28.2,28.2,28.2,28.2,28.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,28.2,106,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,28.2,28.2,28.2,28.2,28.2,28.2,N/A,,,,,,
HEMATOCRIT,85014,CPT,Both,,,37,22,,,7.4,7.4,7.4,7.4,7.4,7.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,7.4,28,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,7.4,7.4,7.4,7.4,7.4,7.4,N/A,,,,,,
HEMOGLOBIN,85018,CPT,Both,,,38,23,,,7.6,7.6,7.6,7.6,7.6,7.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,7.6,29,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,7.6,7.6,7.6,7.6,7.6,7.6,N/A,,,,,,
HEMOGLOBINOPATHY FRACT,83020,CPT,Both,,,143,86,,,28.6,28.6,28.6,28.6,28.6,28.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,28.6,107,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,28.6,28.6,28.6,28.6,28.6,28.6,N/A,,,,,,
HEP BE ANTIB  HBEAB,86707,CPT,Both,,,96,58,,,19.2,19.2,19.2,19.2,19.2,19.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,19.2,72,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,19.2,19.2,19.2,19.2,19.2,19.2,N/A,,,,,,
HEPATIC PANEL,80076,CPT,Both,,,197,118,,,39.4,39.4,39.4,39.4,39.4,39.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,39.4,148,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,39.4,39.4,39.4,39.4,39.4,39.4,N/A,,,,,,
"HEPATITIS A ANTIBODY,",86708,CPT,Both,,,107,64,,,21.4,21.4,21.4,21.4,21.4,21.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,21.4,80,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,21.4,21.4,21.4,21.4,21.4,21.4,N/A,,,,,,
HEPATITIS B SCREEN,86704,CPT,Both,,,153,92,,,30.6,30.6,30.6,30.6,30.6,30.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,30.6,115,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,30.6,30.6,30.6,30.6,30.6,30.6,N/A,,,,,,
HEPATITIS B SURFACE AN,86706,CPT,Both,,,138,83,,,27.6,27.6,27.6,27.6,27.6,27.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,27.6,104,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,27.6,27.6,27.6,27.6,27.6,27.6,N/A,,,,,,
HEPATITIS B SURFACE AN,87340,CPT,Both,,,117,70,,,23.4,23.4,23.4,23.4,23.4,23.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,23.4,88,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,23.4,23.4,23.4,23.4,23.4,23.4,N/A,,,,,,
"MICROALBUMIN, RANDOM U",82043,CPT,Both,,,170,102,,,34,34,34,34,34,34,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,34,128,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,34,34,34,34,34,34,N/A,,,,,,
HERPES SIMPLEX VIRUS C,87255,CPT,Both,,,222,133,,,44.4,44.4,44.4,44.4,44.4,44.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,44.4,167,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,44.4,44.4,44.4,44.4,44.4,44.4,N/A,,,,,,
".HERPES SIMPLEX 1/2, I",86694,CPT,Both,,,85,51,,,17,17,17,17,17,17,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,17,64,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,17,17,17,17,17,17,N/A,,,,,,
HEMOGLOBIN A1C,83036,CPT,Both,,,82,49,,,16.4,16.4,16.4,16.4,16.4,16.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,16.4,62,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,16.4,16.4,16.4,16.4,16.4,16.4,N/A,,,,,,
HIV 1,86701,CPT,Both,,,110,66,,,22,22,22,22,22,22,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,22,83,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,22,22,22,22,22,22,N/A,,,,,,
HIV 1 AND 2,86703,CPT,Both,,,216,130,,,43.2,43.2,43.2,43.2,43.2,43.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,43.2,162,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,43.2,43.2,43.2,43.2,43.2,43.2,N/A,,,,,,
HIV 1 QUAN.RNA PCR(VIR,87536,CPT,Both,,,459,275,,,91.8,91.8,91.8,91.8,91.8,91.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,91.8,344,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,91.8,91.8,91.8,91.8,91.8,91.8,N/A,,,,,,
HLA  B27 DISEASE ASSOC,81374,CPT,Both,,,117,70,,,23.4,23.4,23.4,23.4,23.4,23.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,23.4,88,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,23.4,23.4,23.4,23.4,23.4,23.4,N/A,,,,,,
HOMOCYSTEINE,83090,CPT,Both,,,128,77,,,25.6,25.6,25.6,25.6,25.6,25.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,25.6,96,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,25.6,25.6,25.6,25.6,25.6,25.6,N/A,,,,,,
"HSV 1/2, IGG AB W REFL",86695,CPT,Both,,,200,120,,,40,40,40,40,40,40,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,40,150,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,40,40,40,40,40,40,N/A,,,,,,
"HERPES SIMPLEX, TYPE 2",86696,CPT,Both,,,160,96,,,32,32,32,32,32,32,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,32,120,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,32,32,32,32,32,32,N/A,,,,,,
"IMMUNOGLOBULIN E, TOTA",82785,CPT,Both,,,103,62,,,20.6,20.6,20.6,20.6,20.6,20.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20.6,77,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,20.6,20.6,20.6,20.6,20.6,20.6,N/A,,,,,,
VARICELLA  ZOSTER,86787,CPT,Both,,,97,58,,,19.4,19.4,19.4,19.4,19.4,19.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,19.4,73,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,19.4,19.4,19.4,19.4,19.4,19.4,N/A,,,,,,
HEPATITIS A IGM,86709,CPT,Both,,,112,67,,,22.4,22.4,22.4,22.4,22.4,22.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,22.4,84,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,22.4,22.4,22.4,22.4,22.4,22.4,N/A,,,,,,
"CMV ANTIBODIES, IGM",86645,CPT,Both,,,110,66,,,22,22,22,22,22,22,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,22,83,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,22,22,22,22,22,22,N/A,,,,,,
IMMUNOCYTOCHEMISTY,88342,CPT,Both,,,230,138,,,46,46,46,46,46,46,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,46,172,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,46,46,46,46,46,46,N/A,,,,,,
IMMUNOELECTROPHORESIS,82784,CPT,Both,,,112,67,,,22.4,22.4,22.4,22.4,22.4,22.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,22.4,84,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,22.4,22.4,22.4,22.4,22.4,22.4,N/A,,,,,,
INFLUENZA A AND B,86710,CPT,Both,,,164,98,,,32.8,32.8,32.8,32.8,32.8,32.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,32.8,123,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,32.8,32.8,32.8,32.8,32.8,32.8,N/A,,,,,,
INSULIN LIKE GROWTH FA,84305,CPT,Both,,,475,285,,,95,95,95,95,95,95,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,95,356,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,95,95,95,95,95,95,N/A,,,,,,
INSULIN LEVEL,83525,CPT,Both,,,131,79,,,26.2,26.2,26.2,26.2,26.2,26.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,26.2,98,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,26.2,26.2,26.2,26.2,26.2,26.2,N/A,,,,,,
CALCIUM 24 HR URINE,82340,CPT,Both,,,65,39,,,13,13,13,13,13,13,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,13,49,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,13,13,13,13,13,13,N/A,,,,,,
IRON,83540,CPT,Both,,,67,40,,,13.4,13.4,13.4,13.4,13.4,13.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,13.4,50,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,13.4,13.4,13.4,13.4,13.4,13.4,N/A,,,,,,
IRON BINDING CO,83550,CPT,Both,,,67,40,,,13.4,13.4,13.4,13.4,13.4,13.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,13.4,50,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,13.4,13.4,13.4,13.4,13.4,13.4,N/A,,,,,,
KETONE SCREEN,82009,CPT,Both,,,62,37,,,12.4,12.4,12.4,12.4,12.4,12.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,12.4,47,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,12.4,12.4,12.4,12.4,12.4,12.4,N/A,,,,,,
LACTIC ACID,83605,CPT,Both,,,82,49,,,16.4,16.4,16.4,16.4,16.4,16.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,16.4,62,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,16.4,16.4,16.4,16.4,16.4,16.4,N/A,,,,,,
LDH,83615,CPT,Both,,,84,50,,,16.8,16.8,16.8,16.8,16.8,16.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,16.8,63,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,16.8,16.8,16.8,16.8,16.8,16.8,N/A,,,,,,
LDL CHOLESTEROL,83721,CPT,Both,,,93,56,,,18.6,18.6,18.6,18.6,18.6,18.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,18.6,70,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,18.6,18.6,18.6,18.6,18.6,18.6,N/A,,,,,,
"LEAD, BLOOD",83655,CPT,Both,,,88,53,,,17.6,17.6,17.6,17.6,17.6,17.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,17.6,66,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,17.6,17.6,17.6,17.6,17.6,17.6,N/A,,,,,,
LEGIONELLA PNEUMOPHILA,87449,CPT,Both,,,177,106,,,35.4,35.4,35.4,35.4,35.4,35.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,35.4,133,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,35.4,35.4,35.4,35.4,35.4,35.4,N/A,,,,,,
LH (LUTEINIZING HORMON,83002,CPT,Both,,,112,67,,,22.4,22.4,22.4,22.4,22.4,22.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,22.4,84,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,22.4,22.4,22.4,22.4,22.4,22.4,N/A,,,,,,
LIPASE,83690,CPT,Both,,,64,38,,,12.8,12.8,12.8,12.8,12.8,12.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,12.8,48,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,12.8,12.8,12.8,12.8,12.8,12.8,N/A,,,,,,
LIPID PROFILE,80061,CPT,Both,,,143,86,,,28.6,28.6,28.6,28.6,28.6,28.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,28.6,107,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,28.6,28.6,28.6,28.6,28.6,28.6,N/A,,,,,,
LITHIUM LEVEL,80178,CPT,Both,,,111,67,,,22.2,22.2,22.2,22.2,22.2,22.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,22.2,83,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,22.2,22.2,22.2,22.2,22.2,22.2,N/A,,,,,,
LUPUS ANTICOAGULANT SC,85613,CPT,Both,,,126,76,,,25.2,25.2,25.2,25.2,25.2,25.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,25.2,95,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,25.2,25.2,25.2,25.2,25.2,25.2,N/A,,,,,,
"LYME DISEASE, SERUM, W",86617,CPT,Both,,,115,69,,,23,23,23,23,23,23,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,23,86,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,23,23,23,23,23,23,N/A,,,,,,
"LYME DISEASE, TOTAL AN",86618,CPT,Both,,,118,71,,,23.6,23.6,23.6,23.6,23.6,23.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,23.6,89,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,23.6,23.6,23.6,23.6,23.6,23.6,N/A,,,,,,
MAGNESIUM,83735,CPT,Both,,,107,64,,,21.4,21.4,21.4,21.4,21.4,21.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,21.4,80,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,21.4,21.4,21.4,21.4,21.4,21.4,N/A,,,,,,
MERCURY BLOOD,83825,CPT,Both,,,87,52,,,17.4,17.4,17.4,17.4,17.4,17.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,17.4,65,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,17.4,17.4,17.4,17.4,17.4,17.4,N/A,,,,,,
METANEPHRINES 24 HOUR,83835,CPT,Both,,,318,191,,,63.6,63.6,63.6,63.6,63.6,63.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,63.6,239,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,63.6,63.6,63.6,63.6,63.6,63.6,N/A,,,,,,
MONO TEST,86308,CPT,Both,,,77,46,,,15.4,15.4,15.4,15.4,15.4,15.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,15.4,58,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,15.4,15.4,15.4,15.4,15.4,15.4,N/A,,,,,,
"MTHFR, DNA ANALYSIS",81291,CPT,Both,,,288,173,,,57.6,57.6,57.6,57.6,57.6,57.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,57.6,216,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,57.6,57.6,57.6,57.6,57.6,57.6,N/A,,,,,,
MUMPS ANTIBODIES,86735,CPT,Both,,,161,97,,,32.2,32.2,32.2,32.2,32.2,32.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,32.2,121,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,32.2,32.2,32.2,32.2,32.2,32.2,N/A,,,,,,
"NEISSERIA GONORRHOEAE,",87591,CPT,Both,,,290,174,,,58,58,58,58,58,58,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,58,218,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,58,58,58,58,58,58,N/A,,,,,,
PRENATAL PANEL (OBSTET,80081,CPT,Both,,,607,364,,,121.4,121.4,121.4,121.4,121.4,121.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,121.4,455,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,121.4,121.4,121.4,121.4,121.4,121.4,N/A,,,,,,
OVA AND PARASITES,87177,CPT,Both,,,85,51,,,17,17,17,17,17,17,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,17,64,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,17,17,17,17,17,17,N/A,,,,,,
"PTH, INTACT",83970,CPT,Both,,,250,150,,,50,50,50,50,50,50,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,50,188,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,50,50,50,50,50,50,N/A,,,,,,
PATHOLOGY LEVEL 1,83800,CPT,Both,,,66,40,,,13.2,13.2,13.2,13.2,13.2,13.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,13.2,50,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,13.2,13.2,13.2,13.2,13.2,13.2,N/A,,,,,,
PATHOLOGY LEVEL 3,88304,CPT,Both,,,130,78,,,26,26,26,26,26,26,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,26,98,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,26,26,26,26,26,26,N/A,,,,,,
PATHOLOGY LEVEL 4,88305,CPT,Both,,,195,117,,,39,39,39,39,39,39,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,39,146,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,39,39,39,39,39,39,N/A,,,,,,
