Encompass Health Rehabilitation Hospital of Gadsden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"801 Goodyear Avenue, Gadsden, AL 35903-1133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State License # - H2804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicare (CCN) # - 013032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hospital Financial Aide Policy - Our hospital offers a financial aide policy.  For more information go to the hospital's main website and click on ""For Patients"" and then select ""Financial Assistance""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 1: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 2: SHOPPABLE SERVICE NOT OFFERED AT HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 3: Plan does not pay our hospital for the SHOPPABLE_SERVICES and/or the BILLING_REVENUE_SERVICE_CODE beginning with CMG. The Negotiated Charge for a specific Plan will only be displayed for applicable SHOPPABLE_SERVICES.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,AMBETTER AL EXCHANGE (AALZ) negotiated charge,ASCENSION COMPLETE MCR (ASCM) negotiated charge,BC FEP (BCFD) negotiated charge,BC/BS ALABAMA (BCAL) negotiated charge,BCBS AL MEDICARE ADVANTAG (BCAD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,MEDICARE (MCR) negotiated charge,MULTIPLAN WORK COMP (MULW) negotiated charge,PARADIGM WORK COMP (PARW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,THREE RIVERS HEALTH WC (TRPW) negotiated charge,TRICARE (TRI) negotiated charge,TRICARE FOR LIFE (TRIM) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE EXCHANG (UHCZ) negotiated charge,UNITED HLTHCARE MEDICARE (UHCM) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$20555.32,$24182.73,Note 3,$24182.73,Note 3,Note 3,$24182.73,Note 3,Note 3,$23457.25,Note 3,Note 3,$24182.73,Note 3,$24182.73,$24182.73,Note 3,$24182.73,Note 3,Note 3,$24182.73,$24182.73,$24182.73,Note 3,Note 3,$22973.59,Note 3,$20555.32,$24182.73
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$16683.39,$19627.52,Note 3,$19627.52,Note 3,Note 3,$19627.52,Note 3,Note 3,$19038.69,Note 3,Note 3,$19627.52,Note 3,$19627.52,$19627.52,Note 3,$19627.52,Note 3,Note 3,$19627.52,$19627.52,$19627.52,Note 3,Note 3,$18646.14,Note 3,$16683.39,$19627.52
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$15689.97,$18458.78,Note 3,$18458.78,Note 3,Note 3,$18458.78,Note 3,Note 3,$17905.02,Note 3,Note 3,$18458.78,Note 3,$18458.78,$18458.78,Note 3,$18458.78,Note 3,Note 3,$18458.78,$18458.78,$18458.78,Note 3,Note 3,$17535.85,Note 3,$15689.97,$18458.78
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$16680.85,$19624.52,Note 3,$19624.52,Note 3,Note 3,$19624.52,Note 3,Note 3,$19035.79,Note 3,Note 3,$19624.52,Note 3,$19624.52,$19624.52,Note 3,$19624.52,Note 3,Note 3,$19624.52,$19624.52,$19624.52,Note 3,Note 3,$18643.30,Note 3,$16680.85,$19624.52
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$23361.32,$27483.91,Note 3,$27483.91,Note 3,Note 3,$27483.91,Note 3,Note 3,$26659.39,Note 3,Note 3,$27483.91,Note 3,$27483.91,$27483.91,Note 3,$27483.91,Note 3,Note 3,$27483.91,$27483.91,$27483.91,Note 3,Note 3,$26109.72,Note 3,$23361.32,$27483.91
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$18960.25,$22306.17,Note 3,$22306.17,Note 3,Note 3,$22306.17,Note 3,Note 3,$21636.99,Note 3,Note 3,$22306.17,Note 3,$22306.17,$22306.17,Note 3,$22306.17,Note 3,Note 3,$22306.17,$22306.17,$22306.17,Note 3,Note 3,$21190.86,Note 3,$18960.25,$22306.17
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$17831.99,$20978.82,Note 3,$20978.82,Note 3,Note 3,$20978.82,Note 3,Note 3,$20349.45,Note 3,Note 3,$20978.82,Note 3,$20978.82,$20978.82,Note 3,$20978.82,Note 3,Note 3,$20978.82,$20978.82,$20978.82,Note 3,Note 3,$19929.88,Note 3,$17831.99,$20978.82
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$20657.08,$24302.45,Note 3,$24302.45,Note 3,Note 3,$24302.45,Note 3,Note 3,$23573.37,Note 3,Note 3,$24302.45,Note 3,$24302.45,$24302.45,Note 3,$24302.45,Note 3,Note 3,$24302.45,$24302.45,$24302.45,Note 3,Note 3,$23087.32,Note 3,$20657.08,$24302.45
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$28930.09,$34035.40,Note 3,$34035.40,Note 3,Note 3,$34035.40,Note 3,Note 3,$33014.33,Note 3,Note 3,$34035.40,Note 3,$34035.40,$34035.40,Note 3,$34035.40,Note 3,Note 3,$34035.40,$34035.40,$34035.40,Note 3,Note 3,$32333.63,Note 3,$28930.09,$34035.40
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$23480.89,$27624.58,Note 3,$27624.58,Note 3,Note 3,$27624.58,Note 3,Note 3,$26795.84,Note 3,Note 3,$27624.58,Note 3,$27624.58,$27624.58,Note 3,$27624.58,Note 3,Note 3,$27624.58,$27624.58,$27624.58,Note 3,Note 3,$26243.35,Note 3,$23480.89,$27624.58
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$22082.98,$25979.97,Note 3,$25979.97,Note 3,Note 3,$25979.97,Note 3,Note 3,$25200.57,Note 3,Note 3,$25979.97,Note 3,$25979.97,$25979.97,Note 3,$25979.97,Note 3,Note 3,$25979.97,$25979.97,$25979.97,Note 3,Note 3,$24680.97,Note 3,$22082.98,$25979.97
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$10350.16,$12176.66,Note 3,$12176.66,Note 3,Note 3,$12176.66,Note 3,Note 3,$11811.36,Note 3,Note 3,$12176.66,Note 3,$12176.66,$12176.66,Note 3,$12176.66,Note 3,Note 3,$12176.66,$12176.66,$12176.66,Note 3,Note 3,$11567.83,Note 3,$10350.16,$12176.66
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$16652.86,$19591.60,Note 3,$19591.60,Note 3,Note 3,$19591.60,Note 3,Note 3,$19003.85,Note 3,Note 3,$19591.60,Note 3,$19591.60,$19591.60,Note 3,$19591.60,Note 3,Note 3,$19591.60,$19591.60,$19591.60,Note 3,Note 3,$18612.02,Note 3,$16652.86,$19591.60
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$12370.08,$14553.03,Note 3,$14553.03,Note 3,Note 3,$14553.03,Note 3,Note 3,$14116.44,Note 3,Note 3,$14553.03,Note 3,$14553.03,$14553.03,Note 3,$14553.03,Note 3,Note 3,$14553.03,$14553.03,$14553.03,Note 3,Note 3,$13825.38,Note 3,$12370.08,$14553.03
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$11180.77,$13153.85,Note 3,$13153.85,Note 3,Note 3,$13153.85,Note 3,Note 3,$12759.23,Note 3,Note 3,$13153.85,Note 3,$13153.85,$13153.85,Note 3,$13153.85,Note 3,Note 3,$13153.85,$13153.85,$13153.85,Note 3,Note 3,$12496.16,Note 3,$11180.77,$13153.85
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$11860.01,$13952.96,Note 3,$13952.96,Note 3,Note 3,$13952.96,Note 3,Note 3,$13534.37,Note 3,Note 3,$13952.96,Note 3,$13952.96,$13952.96,Note 3,$13952.96,Note 3,Note 3,$13952.96,$13952.96,$13952.96,Note 3,Note 3,$13255.31,Note 3,$11860.01,$13952.96
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$19083.63,$22451.33,Note 3,$22451.33,Note 3,Note 3,$22451.33,Note 3,Note 3,$21777.79,Note 3,Note 3,$22451.33,Note 3,$22451.33,$22451.33,Note 3,$22451.33,Note 3,Note 3,$22451.33,$22451.33,$22451.33,Note 3,Note 3,$21328.76,Note 3,$19083.63,$22451.33
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$14175.03,$16676.51,Note 3,$16676.51,Note 3,Note 3,$16676.51,Note 3,Note 3,$16176.21,Note 3,Note 3,$16676.51,Note 3,$16676.51,$16676.51,Note 3,$16676.51,Note 3,Note 3,$16676.51,$16676.51,$16676.51,Note 3,Note 3,$15842.68,Note 3,$14175.03,$16676.51
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$12811.46,$15072.30,Note 3,$15072.30,Note 3,Note 3,$15072.30,Note 3,Note 3,$14620.14,Note 3,Note 3,$15072.30,Note 3,$15072.30,$15072.30,Note 3,$15072.30,Note 3,Note 3,$15072.30,$15072.30,$15072.30,Note 3,Note 3,$14318.69,Note 3,$12811.46,$15072.30
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$14977.65,$17620.77,Note 3,$17620.77,Note 3,Note 3,$17620.77,Note 3,Note 3,$17092.15,Note 3,Note 3,$17620.77,Note 3,$17620.77,$17620.77,Note 3,$17620.77,Note 3,Note 3,$17620.77,$17620.77,$17620.77,Note 3,Note 3,$16739.73,Note 3,$14977.65,$17620.77
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$24100.35,$28353.35,Note 3,$28353.35,Note 3,Note 3,$28353.35,Note 3,Note 3,$27502.75,Note 3,Note 3,$28353.35,Note 3,$28353.35,$28353.35,Note 3,$28353.35,Note 3,Note 3,$28353.35,$28353.35,$28353.35,Note 3,Note 3,$26935.68,Note 3,$24100.35,$28353.35
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$17900.68,$21059.63,Note 3,$21059.63,Note 3,Note 3,$21059.63,Note 3,Note 3,$20427.84,Note 3,Note 3,$21059.63,Note 3,$21059.63,$21059.63,Note 3,$21059.63,Note 3,Note 3,$21059.63,$21059.63,$21059.63,Note 3,Note 3,$20006.64,Note 3,$17900.68,$21059.63
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1603-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$16179.68,$19034.92,Note 3,$19034.92,Note 3,Note 3,$19034.92,Note 3,Note 3,$18463.87,Note 3,Note 3,$19034.92,Note 3,$19034.92,$19034.92,Note 3,$19034.92,Note 3,Note 3,$19034.92,$19034.92,$19034.92,Note 3,Note 3,$18083.17,Note 3,$16179.68,$19034.92
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$18557.03,$21831.80,Note 3,$21831.80,Note 3,Note 3,$21831.80,Note 3,Note 3,$21176.84,Note 3,Note 3,$21831.80,Note 3,$21831.80,$21831.80,Note 3,$21831.80,Note 3,Note 3,$21831.80,$21831.80,$21831.80,Note 3,Note 3,$20740.21,Note 3,$18557.03,$21831.80
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$29859.91,$35129.30,Note 3,$35129.30,Note 3,Note 3,$35129.30,Note 3,Note 3,$34075.43,Note 3,Note 3,$35129.30,Note 3,$35129.30,$35129.30,Note 3,$35129.30,Note 3,Note 3,$35129.30,$35129.30,$35129.30,Note 3,Note 3,$33372.84,Note 3,$29859.91,$35129.30
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$22178.38,$26092.21,Note 3,$26092.21,Note 3,Note 3,$26092.21,Note 3,Note 3,$25309.44,Note 3,Note 3,$26092.21,Note 3,$26092.21,$26092.21,Note 3,$26092.21,Note 3,Note 3,$26092.21,$26092.21,$26092.21,Note 3,Note 3,$24787.60,Note 3,$22178.38,$26092.21
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1604-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$20046.52,$23584.15,Note 3,$23584.15,Note 3,Note 3,$23584.15,Note 3,Note 3,$22876.62,Note 3,Note 3,$23584.15,Note 3,$23584.15,$23584.15,Note 3,$23584.15,Note 3,Note 3,$23584.15,$23584.15,$23584.15,Note 3,Note 3,$22404.94,Note 3,$20046.52,$23584.15
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$11108.27,$13068.55,Note 3,$13068.55,Note 3,Note 3,$13068.55,Note 3,Note 3,$12676.49,Note 3,Note 3,$13068.55,Note 3,$13068.55,$13068.55,Note 3,$13068.55,Note 3,Note 3,$13068.55,$13068.55,$13068.55,Note 3,Note 3,$12415.12,Note 3,$11108.27,$13068.55
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$17007.75,$20009.11,Note 3,$20009.11,Note 3,Note 3,$20009.11,Note 3,Note 3,$19408.84,Note 3,Note 3,$20009.11,Note 3,$20009.11,$20009.11,Note 3,$20009.11,Note 3,Note 3,$20009.11,$20009.11,$20009.11,Note 3,Note 3,$19008.66,Note 3,$17007.75,$20009.11
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$13219.77,$15552.67,Note 3,$15552.67,Note 3,Note 3,$15552.67,Note 3,Note 3,$15086.09,Note 3,Note 3,$15552.67,Note 3,$15552.67,$15552.67,Note 3,$15552.67,Note 3,Note 3,$15552.67,$15552.67,$15552.67,Note 3,Note 3,$14775.03,Note 3,$13219.77,$15552.67
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1701-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$12244.15,$14404.89,Note 3,$14404.89,Note 3,Note 3,$14404.89,Note 3,Note 3,$13972.74,Note 3,Note 3,$14404.89,Note 3,$14404.89,$14404.89,Note 3,$14404.89,Note 3,Note 3,$14404.89,$14404.89,$14404.89,Note 3,Note 3,$13684.64,Note 3,$12244.15,$14404.89
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$13801.07,$16236.55,Note 3,$16236.55,Note 3,Note 3,$16236.55,Note 3,Note 3,$15749.45,Note 3,Note 3,$16236.55,Note 3,$16236.55,$16236.55,Note 3,$16236.55,Note 3,Note 3,$16236.55,$16236.55,$16236.55,Note 3,Note 3,$15424.72,Note 3,$13801.07,$16236.55
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$21130.26,$24859.13,Note 3,$24859.13,Note 3,Note 3,$24859.13,Note 3,Note 3,$24113.35,Note 3,Note 3,$24859.13,Note 3,$24859.13,$24859.13,Note 3,$24859.13,Note 3,Note 3,$24859.13,$24859.13,$24859.13,Note 3,Note 3,$23616.17,Note 3,$21130.26,$24859.13
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$16425.18,$19323.74,Note 3,$19323.74,Note 3,Note 3,$19323.74,Note 3,Note 3,$18744.02,Note 3,Note 3,$19323.74,Note 3,$19323.74,$19323.74,Note 3,$19323.74,Note 3,Note 3,$19323.74,$19323.74,$19323.74,Note 3,Note 3,$18357.55,Note 3,$16425.18,$19323.74
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1702-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$15211.70,$17896.12,Note 3,$17896.12,Note 3,Note 3,$17896.12,Note 3,Note 3,$17359.23,Note 3,Note 3,$17896.12,Note 3,$17896.12,$17896.12,Note 3,$17896.12,Note 3,Note 3,$17896.12,$17896.12,$17896.12,Note 3,Note 3,$17001.31,Note 3,$15211.70,$17896.12
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$16399.74,$19293.81,Note 3,$19293.81,Note 3,Note 3,$19293.81,Note 3,Note 3,$18714.99,Note 3,Note 3,$19293.81,Note 3,$19293.81,$19293.81,Note 3,$19293.81,Note 3,Note 3,$19293.81,$19293.81,$19293.81,Note 3,Note 3,$18329.12,Note 3,$16399.74,$19293.81
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$25109.04,$29540.04,Note 3,$29540.04,Note 3,Note 3,$29540.04,Note 3,Note 3,$28653.84,Note 3,Note 3,$29540.04,Note 3,$29540.04,$29540.04,Note 3,$29540.04,Note 3,Note 3,$29540.04,$29540.04,$29540.04,Note 3,Note 3,$28063.04,Note 3,$25109.04,$29540.04
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$19517.38,$22961.62,Note 3,$22961.62,Note 3,Note 3,$22961.62,Note 3,Note 3,$22272.77,Note 3,Note 3,$22961.62,Note 3,$22961.62,$22961.62,Note 3,$22961.62,Note 3,Note 3,$22961.62,$22961.62,$22961.62,Note 3,Note 3,$21813.54,Note 3,$19517.38,$22961.62
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1703-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$18076.22,$21266.14,Note 3,$21266.14,Note 3,Note 3,$21266.14,Note 3,Note 3,$20628.15,Note 3,Note 3,$21266.14,Note 3,$21266.14,$21266.14,Note 3,$21266.14,Note 3,Note 3,$21266.14,$21266.14,$21266.14,Note 3,Note 3,$20202.83,Note 3,$18076.22,$21266.14
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$18560.84,$21836.29,Note 3,$21836.29,Note 3,Note 3,$21836.29,Note 3,Note 3,$21181.20,Note 3,Note 3,$21836.29,Note 3,$21836.29,$21836.29,Note 3,$21836.29,Note 3,Note 3,$21836.29,$21836.29,$21836.29,Note 3,Note 3,$20744.47,Note 3,$18560.84,$21836.29
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$28420.02,$33435.32,Note 3,$33435.32,Note 3,Note 3,$33435.32,Note 3,Note 3,$32432.26,Note 3,Note 3,$33435.32,Note 3,$33435.32,$33435.32,Note 3,$33435.32,Note 3,Note 3,$33435.32,$33435.32,$33435.32,Note 3,Note 3,$31763.55,Note 3,$28420.02,$33435.32
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$22090.61,$25988.95,Note 3,$25988.95,Note 3,Note 3,$25988.95,Note 3,Note 3,$25209.28,Note 3,Note 3,$25988.95,Note 3,$25988.95,$25988.95,Note 3,$25988.95,Note 3,Note 3,$25988.95,$25988.95,$25988.95,Note 3,Note 3,$24689.50,Note 3,$22090.61,$25988.95
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Major Mult. Trauma, no brain or spinal cord injury",CMG 1704-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$20458.65,$24069.00,Note 3,$24069.00,Note 3,Note 3,$24069.00,Note 3,Note 3,$23346.93,Note 3,Note 3,$24069.00,Note 3,$24069.00,$24069.00,Note 3,$24069.00,Note 3,Note 3,$24069.00,$24069.00,$24069.00,Note 3,Note 3,$22865.55,Note 3,$20458.65,$24069.00
