hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|AL,,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,
STRAPPING KNEE PT,1814921,CDM,BOTH,,,700.99,700.99,NAMCI ,NAMCI Commericial,GP,700.99,,,560.79,1,599.35,Fee Schedule,negotiated rate
STRAPPING KNEE PTA,1815009,CDM,BOTH,,,700.99,700.99,NAMCI ,NAMCI Commericial,GP,700.99,,,560.79,1,599.35,Fee Schedule,negotiated rate
STRPPNG ANKLE-FT PT,1814922,CDM,BOTH,,,700.99,700.99,NAMCI ,NAMCI Commericial,GP,700.99,,,560.79,1,599.35,Fee Schedule,negotiated rate
STRPPNG ANKLE-FT PTA,1815010,CDM,BOTH,,,700.99,700.99,NAMCI ,NAMCI Commericial,GP,700.99,,,560.79,1,599.35,Fee Schedule,negotiated rate
STRPPNG LOW BACK PT,1814913,CDM,BOTH,,,700.99,700.99,NAMCI ,NAMCI Commericial,GP,700.99,,,560.79,1,599.35,Fee Schedule,negotiated rate
STRPPNG LOW BACK PTA,1815001,CDM,BOTH,,,700.99,700.99,NAMCI ,NAMCI Commericial,GP,700.99,,,560.79,1,599.35,Fee Schedule,negotiated rate
CANALITH PER DAY PT,1814927,CDM,BOTH,,,281.09,281.09,NAMCI ,NAMCI Commericial,GP,281.09,,,224.87,1,599.35,Fee Schedule,negotiated rate
CANALITH PER DAY PTA,1815015,CDM,BOTH,,,281.09,281.09,NAMCI ,NAMCI Commericial,GP,281.09,,,224.87,1,240.33,Fee Schedule,negotiated rate
HOT-COLD PACKS PT,1814937,CDM,BOTH,,,32.23,32.23,NAMCI ,NAMCI Commericial,GP,32.23,,,25.78,1,240.33,Fee Schedule,negotiated rate
HOT-COLD PACKS PTA,1815025,CDM,BOTH,,,32.23,32.23,NAMCI ,NAMCI Commericial,GP,32.23,,,25.78,1,27.56,Fee Schedule,negotiated rate
MECH TRACTN-VST PT,1814938,CDM,BOTH,,,138.17,138.17,NAMCI ,NAMCI Commericial,GP,138.17,,,110.54,12.93,96.72,Fee Schedule,negotiated rate
MECH TRACTN-VST PTA,1815026,CDM,BOTH,,,138.17,138.17,NAMCI ,NAMCI Commericial,GP,138.17,,,110.54,12.93,118.14,Fee Schedule,negotiated rate
VASPNEUM DEV-VIS PT,1814939,CDM,BOTH,,,90.57,90.57,NAMCI ,NAMCI Commericial,GP,90.57,,,72.46,10.63,118.14,Fee Schedule,negotiated rate
VASPNEUM DEV-VIS PTA,1815027,CDM,BOTH,,,90.57,90.57,NAMCI ,NAMCI Commericial,GP,90.57,,,72.46,10.63,77.44,Fee Schedule,negotiated rate
PARAF BATH-VISIT PT,1814940,CDM,BOTH,,,85.98,85.98,NAMCI ,NAMCI Commericial,GP,85.98,,,68.78,5,77.44,Fee Schedule,negotiated rate
PARAF BATH-VISIT PTA,1815028,CDM,BOTH,,,85.98,85.98,NAMCI ,NAMCI Commericial,GP,85.98,,,68.78,5,73.51,Fee Schedule,negotiated rate
WHRLPL THRPY-VST PT,1814941,CDM,BOTH,,,135.12,135.12,NAMCI ,NAMCI Commericial,GP,135.12,,,108.1,13.35,94.58,Fee Schedule,negotiated rate
WHRLPL THRPY-VST PTA,1815029,CDM,BOTH,,,135.12,135.12,NAMCI ,NAMCI Commericial,GP,135.12,,,108.1,13.35,115.53,Fee Schedule,negotiated rate
INFRARD THER-VST PT,1814943,CDM,BOTH,,,85.98,85.98,NAMCI ,NAMCI Commericial,GP,85.98,,,68.78,1,115.53,Fee Schedule,negotiated rate
INFRARD THER-VST PTA,1815031,CDM,BOTH,,,85.98,85.98,NAMCI ,NAMCI Commericial,GP,85.98,,,68.78,1,73.51,Fee Schedule,negotiated rate
ELEC STM-MN-15MN PT,1814945,CDM,BOTH,,,125.9,125.9,NAMCI ,NAMCI Commericial,GP,125.9,,,100.72,13.21,88.13,Fee Schedule,negotiated rate
ELEC STM-MN-15MN PTA,1815033,CDM,BOTH,,,125.9,125.9,NAMCI ,NAMCI Commericial,GP,125.9,,,100.72,13.21,107.64,Fee Schedule,negotiated rate
IONTOPHOR-15 MIN PT,1814946,CDM,BOTH,,,182.72,182.72,NAMCI ,NAMCI Commericial,GP,182.72,,,146.18,1,127.9,Fee Schedule,negotiated rate
IONTOPHOR-15 MIN PTA,1815034,CDM,BOTH,,,182.72,182.72,NAMCI ,NAMCI Commericial,GP,182.72,,,146.18,1,156.23,Fee Schedule,negotiated rate
CNTRST BTH-15MIN PT,1814947,CDM,BOTH,,,90.57,90.57,NAMCI ,NAMCI Commericial,GP,90.57,,,72.46,12.76,156.23,Fee Schedule,negotiated rate
CNTRST BTH-15MIN PTA,1815035,CDM,BOTH,,,90.57,90.57,NAMCI ,NAMCI Commericial,GP,90.57,,,72.46,12.76,77.44,Fee Schedule,negotiated rate
ULTRASND-15 MIN PT,1814948,CDM,BOTH,,,139.73,139.73,NAMCI ,NAMCI Commericial,GP,139.73,,,111.78,12.76,97.81,Fee Schedule,negotiated rate
ULTRASND-15 MIN PTA,1815036,CDM,BOTH,,,139.73,139.73,NAMCI ,NAMCI Commericial,GP,139.73,,,111.78,12.76,119.47,Fee Schedule,negotiated rate
THER EXRCS-15MIN PT,1814950,CDM,BOTH,,,152.01,152.01,NAMCI ,NAMCI Commericial,GP,152.01,,,121.61,22.24,119.47,Fee Schedule,negotiated rate
THER EXRCS-15MIN PTA,1815038,CDM,BOTH,,,152.01,152.01,NAMCI ,NAMCI Commericial,GP,152.01,,,121.61,22.24,129.97,Fee Schedule,negotiated rate
NEUR RE-ED-15MIN PT,1814951,CDM,BOTH,,,182.72,182.72,NAMCI ,NAMCI Commericial,GP,182.72,,,146.18,29.66,129.97,Fee Schedule,negotiated rate
NEUR RE-ED-15MIN PTA,1815039,CDM,BOTH,,,182.72,182.72,NAMCI ,NAMCI Commericial,GP,182.72,,,146.18,29.66,156.23,Fee Schedule,negotiated rate
AQUA THRP-15 MIN PT,1814952,CDM,BOTH,,,204.2,204.2,NAMCI ,NAMCI Commericial,GP,204.2,,,163.36,29.66,156.23,Fee Schedule,negotiated rate
AQUA THRP-15 MIN PTA,1815040,CDM,BOTH,,,204.2,204.2,NAMCI ,NAMCI Commericial,GP,204.2,,,163.36,29.66,174.59,Fee Schedule,negotiated rate
GAIT TRNNG-15MIN PT,1814953,CDM,BOTH,,,231.85,231.85,NAMCI ,NAMCI Commericial,GP,231.85,,,185.48,20.01,174.59,Fee Schedule,negotiated rate
GAIT TRNNG-15MIN PTA,1815041,CDM,BOTH,,,231.85,231.85,NAMCI ,NAMCI Commericial,GP,231.85,,,185.48,20.01,198.23,Fee Schedule,negotiated rate
MASSG THRPY-15MN PT,1814954,CDM,BOTH,,,119.76,119.76,NAMCI ,NAMCI Commericial,GP,119.76,,,95.81,20.01,198.23,Fee Schedule,negotiated rate
MASSG THRPY-15MN PTA,1815042,CDM,BOTH,,,119.76,119.76,NAMCI ,NAMCI Commericial,GP,119.76,,,95.81,20.01,102.39,Fee Schedule,negotiated rate
MNL THRPY-15 MIN PT,1814955,CDM,BOTH,,,164.3,164.3,NAMCI ,NAMCI Commericial,GP,164.3,,,131.44,24.8,115.01,Fee Schedule,negotiated rate
MNL THRPY-15 MIN PTA,1815043,CDM,BOTH,,,164.3,164.3,NAMCI ,NAMCI Commericial,GP,164.3,,,131.44,24.8,140.48,Fee Schedule,negotiated rate
THER ACTVT-15MIN PT,1814957,CDM,BOTH,,,164.3,164.3,NAMCI ,NAMCI Commericial,GP,164.3,,,131.44,16.61,140.48,Fee Schedule,negotiated rate
THER ACTVT-15MIN PTA,1815045,CDM,BOTH,,,164.3,164.3,NAMCI ,NAMCI Commericial,GP,164.3,,,131.44,16.61,140.48,Fee Schedule,negotiated rate
WHLCHR MGT-15 MIN PT,1814962,CDM,BOTH,,,182.72,182.72,NAMCI ,NAMCI Commericial,GP,182.72,,,146.18,13.03,140.48,Fee Schedule,negotiated rate
WHLCHR MGT-15MIN PTA,1815050,CDM,BOTH,,,182.72,182.72,NAMCI ,NAMCI Commericial,GP,182.72,,,146.18,13.03,156.23,Fee Schedule,negotiated rate
WK HR-CD 1ST 2HR PT,1814963,CDM,BOTH,,,561.97,561.97,NAMCI ,NAMCI Commericial,GP,561.97,,,449.58,1,393.38,Fee Schedule,negotiated rate
WK HR-CD 1ST 2HR PTA,1815051,CDM,BOTH,,,561.97,561.97,NAMCI ,NAMCI Commericial,GP,561.97,,,449.58,1,480.48,Fee Schedule,negotiated rate
WRK HAR-CND-ADHR PT,1814964,CDM,BOTH,,,237.99,237.99,NAMCI ,NAMCI Commericial,GP,237.99,,,190.39,1,480.48,Fee Schedule,negotiated rate
WRK HAR-CND-ADHR PTA,1815052,CDM,BOTH,,,237.99,237.99,NAMCI ,NAMCI Commericial,GP,237.99,,,190.39,1,203.48,Fee Schedule,negotiated rate
DEBRDE LE 20SQCM PT,1814965,CDM,BOTH,,,543.55,543.55,NAMCI ,NAMCI Commericial,GP,543.55,,,434.84,46.57,380.49,Fee Schedule,negotiated rate
DEBRDE LE 20SQCM PTA,1815053,CDM,BOTH,,,543.55,543.55,NAMCI ,NAMCI Commericial,GP,543.55,,,434.84,46.57,464.74,Fee Schedule,negotiated rate
DEBRDE EA AD20CM PT,1814977,CDM,BOTH,,,543.55,543.55,NAMCI ,NAMCI Commericial,GP,543.55,,,434.84,1,464.74,Fee Schedule,negotiated rate
DEBRDE EA AD20CM PTA,1815065,CDM,BOTH,,,543.55,543.55,NAMCI ,NAMCI Commericial,GP,543.55,,,434.84,1,464.74,Fee Schedule,negotiated rate
PHYS PERF-15 MIN PT,1814967,CDM,BOTH,,,211.88,211.88,NAMCI ,NAMCI Commericial,GP,211.88,,,169.5,14.82,464.74,Fee Schedule,negotiated rate
ELEC STM-UNAT-VI PT,1814974,CDM,BOTH,,,125.9,125.9,NAMCI ,NAMCI Commericial,GP,125.9,,,100.72,1,181.16,Fee Schedule,negotiated rate
ELEC STM-UNAT-VI PTA,1815062,CDM,BOTH,,,125.9,125.9,NAMCI ,NAMCI Commericial,GP,125.9,,,100.72,1,107.64,Fee Schedule,negotiated rate
PT EVAL- LOW CMP PT,1814900,CDM,BOTH,,,540.46,540.46,NAMCI ,NAMCI Commericial,GP,540.46,,,432.37,71.74,378.32,Fee Schedule,negotiated rate
PT EVAL- MOD CMP PT,1814901,CDM,BOTH,,,540.46,540.46,NAMCI ,NAMCI Commericial,GP,540.46,,,432.37,71.74,462.09,Fee Schedule,negotiated rate
PT EVAL- HGH CMP PT,1814902,CDM,BOTH,,,540.46,540.46,NAMCI ,NAMCI Commericial,GP,540.46,,,432.37,71.74,462.09,Fee Schedule,negotiated rate
PT RE-EVAL-VISIT PT,1814936,CDM,BOTH,,,325.49,325.49,NAMCI ,NAMCI Commericial,GP,325.49,,,260.39,48.5,462.09,Fee Schedule,negotiated rate
STRAPPING SHOULD PT,1814914,CDM,BOTH,,,700.99,700.99,NovaNet,NovaNet Commercial,GP,1109.41,0.9,630.89,560.79,1,1109.41,percent of total billed charges,negotiated rate
STRAPPING SHOULD PTA,1815002,CDM,BOTH,,,700.99,700.99,NovaNet,NovaNet Commercial,GP,599.35,0.9,630.89,560.79,1,599.35,percent of total billed charges,negotiated rate
STRPNG ELBO-WRST PT,1814915,CDM,BOTH,,,700.99,700.99,NovaNet,NovaNet Commercial,GP,599.35,0.9,630.89,560.79,1,599.35,percent of total billed charges,negotiated rate
STRPNG ELBO-WRST PTA,1815003,CDM,BOTH,,,700.99,700.99,NovaNet,NovaNet Commercial,GP,599.35,0.9,630.89,560.79,1,599.35,percent of total billed charges,negotiated rate
STRAPPING HIP PT,1814920,CDM,BOTH,,,700.99,700.99,NovaNet,NovaNet Commercial,GP,599.35,0.9,630.89,560.79,1,599.35,percent of total billed charges,negotiated rate
STRAPPING HIP PTA,1815008,CDM,BOTH,,,700.99,700.99,NovaNet,NovaNet Commercial,GP,599.35,0.9,630.89,560.79,1,599.35,percent of total billed charges,negotiated rate
STRAPPING KNEE PT,1814921,CDM,BOTH,,,700.99,700.99,NovaNet,NovaNet Commercial,GP,599.35,0.9,630.89,560.79,1,599.35,percent of total billed charges,negotiated rate
STRAPPING KNEE PTA,1815009,CDM,BOTH,,,700.99,700.99,NovaNet,NovaNet Commercial,GP,599.35,0.9,630.89,560.79,1,599.35,percent of total billed charges,negotiated rate
STRPPNG ANKLE-FT PT,1814922,CDM,BOTH,,,700.99,700.99,NovaNet,NovaNet Commercial,GP,599.35,0.9,630.89,560.79,1,599.35,percent of total billed charges,negotiated rate
STRPPNG ANKLE-FT PTA,1815010,CDM,BOTH,,,700.99,700.99,NovaNet,NovaNet Commercial,GP,599.35,0.9,630.89,560.79,1,599.35,percent of total billed charges,negotiated rate
STRPPNG LOW BACK PT,1814913,CDM,BOTH,,,700.99,700.99,NovaNet,NovaNet Commercial,GP,599.35,0.9,630.89,560.79,1,599.35,percent of total billed charges,negotiated rate
STRPPNG LOW BACK PTA,1815001,CDM,BOTH,,,700.99,700.99,NovaNet,NovaNet Commercial,GP,599.35,0.9,630.89,560.79,1,599.35,percent of total billed charges,negotiated rate
CANALITH PER DAY PT,1814927,CDM,BOTH,,,281.09,281.09,NovaNet,NovaNet Commercial,GP,599.35,0.9,252.98,224.87,1,599.35,percent of total billed charges,negotiated rate
CANALITH PER DAY PTA,1815015,CDM,BOTH,,,281.09,281.09,NovaNet,NovaNet Commercial,GP,240.33,0.9,252.98,224.87,1,240.33,percent of total billed charges,negotiated rate
HOT-COLD PACKS PT,1814937,CDM,BOTH,,,32.23,32.23,NovaNet,NovaNet Commercial,GP,240.33,0.9,29.01,25.78,1,240.33,percent of total billed charges,negotiated rate
HOT-COLD PACKS PTA,1815025,CDM,BOTH,,,32.23,32.23,NovaNet,NovaNet Commercial,GP,27.56,0.9,29.01,25.78,1,27.56,percent of total billed charges,negotiated rate
MECH TRACTN-VST PT,1814938,CDM,BOTH,,,138.17,138.17,NovaNet,NovaNet Commercial,GP,27.56,0.9,124.35,110.54,12.93,96.72,percent of total billed charges,negotiated rate
MECH TRACTN-VST PTA,1815026,CDM,BOTH,,,138.17,138.17,NovaNet,NovaNet Commercial,GP,118.14,0.9,124.35,110.54,12.93,118.14,percent of total billed charges,negotiated rate
VASPNEUM DEV-VIS PT,1814939,CDM,BOTH,,,90.57,90.57,NovaNet,NovaNet Commercial,GP,118.14,0.9,81.51,72.46,10.63,118.14,percent of total billed charges,negotiated rate
VASPNEUM DEV-VIS PTA,1815027,CDM,BOTH,,,90.57,90.57,NovaNet,NovaNet Commercial,GP,77.44,0.9,81.51,72.46,10.63,77.44,percent of total billed charges,negotiated rate
PARAF BATH-VISIT PT,1814940,CDM,BOTH,,,85.98,85.98,NovaNet,NovaNet Commercial,GP,77.44,0.9,77.38,68.78,5,77.44,percent of total billed charges,negotiated rate
PARAF BATH-VISIT PTA,1815028,CDM,BOTH,,,85.98,85.98,NovaNet,NovaNet Commercial,GP,73.51,0.9,77.38,68.78,5,73.51,percent of total billed charges,negotiated rate
WHRLPL THRPY-VST PT,1814941,CDM,BOTH,,,135.12,135.12,NovaNet,NovaNet Commercial,GP,73.51,0.9,121.61,108.1,13.35,94.58,percent of total billed charges,negotiated rate
WHRLPL THRPY-VST PTA,1815029,CDM,BOTH,,,135.12,135.12,NovaNet,NovaNet Commercial,GP,115.53,0.9,121.61,108.1,13.35,115.53,percent of total billed charges,negotiated rate
INFRARD THER-VST PT,1814943,CDM,BOTH,,,85.98,85.98,NovaNet,NovaNet Commercial,GP,115.53,0.9,77.38,68.78,1,115.53,percent of total billed charges,negotiated rate
INFRARD THER-VST PTA,1815031,CDM,BOTH,,,85.98,85.98,NovaNet,NovaNet Commercial,GP,73.51,0.9,77.38,68.78,1,73.51,percent of total billed charges,negotiated rate
ELEC STM-MN-15MN PT,1814945,CDM,BOTH,,,125.9,125.9,NovaNet,NovaNet Commercial,GP,73.51,0.9,113.31,100.72,13.21,88.13,percent of total billed charges,negotiated rate
ELEC STM-MN-15MN PTA,1815033,CDM,BOTH,,,125.9,125.9,NovaNet,NovaNet Commercial,GP,107.64,0.9,113.31,100.72,13.21,107.64,percent of total billed charges,negotiated rate
IONTOPHOR-15 MIN PT,1814946,CDM,BOTH,,,182.72,182.72,NovaNet,NovaNet Commercial,GP,107.64,0.9,164.45,146.18,1,127.9,percent of total billed charges,negotiated rate
IONTOPHOR-15 MIN PTA,1815034,CDM,BOTH,,,182.72,182.72,NovaNet,NovaNet Commercial,GP,156.23,0.9,164.45,146.18,1,156.23,percent of total billed charges,negotiated rate
CNTRST BTH-15MIN PT,1814947,CDM,BOTH,,,90.57,90.57,NovaNet,NovaNet Commercial,GP,156.23,0.9,81.51,72.46,12.76,156.23,percent of total billed charges,negotiated rate
CNTRST BTH-15MIN PTA,1815035,CDM,BOTH,,,90.57,90.57,NovaNet,NovaNet Commercial,GP,77.44,0.9,81.51,72.46,12.76,77.44,percent of total billed charges,negotiated rate
ULTRASND-15 MIN PT,1814948,CDM,BOTH,,,139.73,139.73,NovaNet,NovaNet Commercial,GP,77.44,0.9,125.76,111.78,12.76,97.81,percent of total billed charges,negotiated rate
ULTRASND-15 MIN PTA,1815036,CDM,BOTH,,,139.73,139.73,NovaNet,NovaNet Commercial,GP,119.47,0.9,125.76,111.78,12.76,119.47,percent of total billed charges,negotiated rate
THER EXRCS-15MIN PT,1814950,CDM,BOTH,,,152.01,152.01,NovaNet,NovaNet Commercial,GP,119.47,0.9,136.81,121.61,22.24,119.47,percent of total billed charges,negotiated rate
THER EXRCS-15MIN PTA,1815038,CDM,BOTH,,,152.01,152.01,NovaNet,NovaNet Commercial,GP,129.97,0.9,136.81,121.61,22.24,129.97,percent of total billed charges,negotiated rate
NEUR RE-ED-15MIN PT,1814951,CDM,BOTH,,,182.72,182.72,NovaNet,NovaNet Commercial,GP,129.97,0.9,164.45,146.18,29.66,129.97,percent of total billed charges,negotiated rate
NEUR RE-ED-15MIN PTA,1815039,CDM,BOTH,,,182.72,182.72,NovaNet,NovaNet Commercial,GP,156.23,0.9,164.45,146.18,29.66,156.23,percent of total billed charges,negotiated rate
AQUA THRP-15 MIN PT,1814952,CDM,BOTH,,,204.2,204.2,NovaNet,NovaNet Commercial,GP,156.23,0.9,183.78,163.36,29.66,156.23,percent of total billed charges,negotiated rate
AQUA THRP-15 MIN PTA,1815040,CDM,BOTH,,,204.2,204.2,NovaNet,NovaNet Commercial,GP,174.59,0.9,183.78,163.36,29.66,174.59,percent of total billed charges,negotiated rate
GAIT TRNNG-15MIN PT,1814953,CDM,BOTH,,,231.85,231.85,NovaNet,NovaNet Commercial,GP,174.59,0.9,208.67,185.48,20.01,174.59,percent of total billed charges,negotiated rate
GAIT TRNNG-15MIN PTA,1815041,CDM,BOTH,,,231.85,231.85,NovaNet,NovaNet Commercial,GP,198.23,0.9,208.67,185.48,20.01,198.23,percent of total billed charges,negotiated rate
MASSG THRPY-15MN PT,1814954,CDM,BOTH,,,119.76,119.76,NovaNet,NovaNet Commercial,GP,198.23,0.9,107.78,95.81,20.01,198.23,percent of total billed charges,negotiated rate
MASSG THRPY-15MN PTA,1815042,CDM,BOTH,,,119.76,119.76,NovaNet,NovaNet Commercial,GP,102.39,0.9,107.78,95.81,20.01,102.39,percent of total billed charges,negotiated rate
MNL THRPY-15 MIN PT,1814955,CDM,BOTH,,,164.3,164.3,NovaNet,NovaNet Commercial,GP,102.39,0.9,147.87,131.44,24.8,115.01,percent of total billed charges,negotiated rate
MNL THRPY-15 MIN PTA,1815043,CDM,BOTH,,,164.3,164.3,NovaNet,NovaNet Commercial,GP,140.48,0.9,147.87,131.44,24.8,140.48,percent of total billed charges,negotiated rate
THER ACTVT-15MIN PT,1814957,CDM,BOTH,,,164.3,164.3,NovaNet,NovaNet Commercial,GP,140.48,0.9,147.87,131.44,16.61,140.48,percent of total billed charges,negotiated rate
THER ACTVT-15MIN PTA,1815045,CDM,BOTH,,,164.3,164.3,NovaNet,NovaNet Commercial,GP,140.48,0.9,147.87,131.44,16.61,140.48,percent of total billed charges,negotiated rate
WHLCHR MGT-15 MIN PT,1814962,CDM,BOTH,,,182.72,182.72,NovaNet,NovaNet Commercial,GP,140.48,0.9,164.45,146.18,13.03,140.48,percent of total billed charges,negotiated rate
WHLCHR MGT-15MIN PTA,1815050,CDM,BOTH,,,182.72,182.72,NovaNet,NovaNet Commercial,GP,156.23,0.9,164.45,146.18,13.03,156.23,percent of total billed charges,negotiated rate
WK HR-CD 1ST 2HR PT,1814963,CDM,BOTH,,,561.97,561.97,NovaNet,NovaNet Commercial,GP,156.23,0.9,505.77,449.58,1,393.38,percent of total billed charges,negotiated rate
WK HR-CD 1ST 2HR PTA,1815051,CDM,BOTH,,,561.97,561.97,NovaNet,NovaNet Commercial,GP,480.48,0.9,505.77,449.58,1,480.48,percent of total billed charges,negotiated rate
WRK HAR-CND-ADHR PT,1814964,CDM,BOTH,,,237.99,237.99,NovaNet,NovaNet Commercial,GP,480.48,0.9,214.19,190.39,1,480.48,percent of total billed charges,negotiated rate
WRK HAR-CND-ADHR PTA,1815052,CDM,BOTH,,,237.99,237.99,NovaNet,NovaNet Commercial,GP,203.48,0.9,214.19,190.39,1,203.48,percent of total billed charges,negotiated rate
DEBRDE LE 20SQCM PT,1814965,CDM,BOTH,,,543.55,543.55,NovaNet,NovaNet Commercial,GP,203.48,0.9,489.2,434.84,46.57,380.49,percent of total billed charges,negotiated rate
DEBRDE LE 20SQCM PTA,1815053,CDM,BOTH,,,543.55,543.55,NovaNet,NovaNet Commercial,GP,464.74,0.9,489.2,434.84,46.57,464.74,percent of total billed charges,negotiated rate
DEBRDE EA AD20CM PT,1814977,CDM,BOTH,,,543.55,543.55,NovaNet,NovaNet Commercial,GP,464.74,0.9,489.2,434.84,1,464.74,percent of total billed charges,negotiated rate
DEBRDE EA AD20CM PTA,1815065,CDM,BOTH,,,543.55,543.55,NovaNet,NovaNet Commercial,GP,464.74,0.9,489.2,434.84,1,464.74,percent of total billed charges,negotiated rate
PHYS PERF-15 MIN PT,1814967,CDM,BOTH,,,211.88,211.88,NovaNet,NovaNet Commercial,GP,464.74,0.9,190.69,169.5,14.82,464.74,percent of total billed charges,negotiated rate
ELEC STM-UNAT-VI PT,1814974,CDM,BOTH,,,125.9,125.9,NovaNet,NovaNet Commercial,GP,181.16,0.9,113.31,100.72,1,181.16,percent of total billed charges,negotiated rate
ELEC STM-UNAT-VI PTA,1815062,CDM,BOTH,,,125.9,125.9,NovaNet,NovaNet Commercial,GP,107.64,0.9,113.31,100.72,1,107.64,percent of total billed charges,negotiated rate
PT EVAL- LOW CMP PT,1814900,CDM,BOTH,,,540.46,540.46,NovaNet,NovaNet Commercial,GP,107.64,0.9,486.41,432.37,71.74,378.32,percent of total billed charges,negotiated rate
PT EVAL- MOD CMP PT,1814901,CDM,BOTH,,,540.46,540.46,NovaNet,NovaNet Commercial,GP,462.09,0.9,486.41,432.37,71.74,462.09,percent of total billed charges,negotiated rate
PT EVAL- HGH CMP PT,1814902,CDM,BOTH,,,540.46,540.46,NovaNet,NovaNet Commercial,GP,462.09,0.9,486.41,432.37,71.74,462.09,percent of total billed charges,negotiated rate
PT RE-EVAL-VISIT PT,1814936,CDM,BOTH,,,325.49,325.49,NovaNet,NovaNet Commercial,GP,462.09,0.9,292.94,260.39,48.5,462.09,percent of total billed charges,negotiated rate
STRAPPING SHOULD PT,1814914,CDM,BOTH,,,700.99,700.99,UnitedHealth,UnitedHealth Commercial,GP,184,,,560.79,1,1109.41,Fee Schedule,negotiated rate
STRAPPING SHOULD PTA,1815002,CDM,BOTH,,,700.99,700.99,UnitedHealth,UnitedHealth Commercial,GP,184,,,560.79,1,599.35,Fee Schedule,negotiated rate
STRPNG ELBO-WRST PT,1814915,CDM,BOTH,,,700.99,700.99,UnitedHealth,UnitedHealth Commercial,GP,184,,,560.79,1,599.35,Fee Schedule,negotiated rate
STRPNG ELBO-WRST PTA,1815003,CDM,BOTH,,,700.99,700.99,UnitedHealth,UnitedHealth Commercial,GP,184,,,560.79,1,599.35,Fee Schedule,negotiated rate
STRAPPING HIP PT,1814920,CDM,BOTH,,,700.99,700.99,UnitedHealth,UnitedHealth Commercial,GP,184,,,560.79,1,599.35,Fee Schedule,negotiated rate
STRAPPING HIP PTA,1815008,CDM,BOTH,,,700.99,700.99,UnitedHealth,UnitedHealth Commercial,GP,184,,,560.79,1,599.35,Fee Schedule,negotiated rate
STRAPPING KNEE PT,1814921,CDM,BOTH,,,700.99,700.99,UnitedHealth,UnitedHealth Commercial,GP,184,,,560.79,1,599.35,Fee Schedule,negotiated rate
STRAPPING KNEE PTA,1815009,CDM,BOTH,,,700.99,700.99,UnitedHealth,UnitedHealth Commercial,GP,184,,,560.79,1,599.35,Fee Schedule,negotiated rate
STRPPNG ANKLE-FT PT,1814922,CDM,BOTH,,,700.99,700.99,UnitedHealth,UnitedHealth Commercial,GP,184,,,560.79,1,599.35,Fee Schedule,negotiated rate
STRPPNG ANKLE-FT PTA,1815010,CDM,BOTH,,,700.99,700.99,UnitedHealth,UnitedHealth Commercial,GP,184,,,560.79,1,599.35,Fee Schedule,negotiated rate
STRPPNG LOW BACK PT,1814913,CDM,BOTH,,,700.99,700.99,UnitedHealth,UnitedHealth Commercial,GP,184,,,560.79,1,599.35,Fee Schedule,negotiated rate
STRPPNG LOW BACK PTA,1815001,CDM,BOTH,,,700.99,700.99,UnitedHealth,UnitedHealth Commercial,GP,184,,,560.79,1,599.35,Fee Schedule,negotiated rate
CANALITH PER DAY PT,1814927,CDM,BOTH,,,281.09,281.09,UnitedHealth,UnitedHealth Commercial,GP,67.46,,,224.87,1,599.35,Fee Schedule,negotiated rate
CANALITH PER DAY PTA,1815015,CDM,BOTH,,,281.09,281.09,UnitedHealth,UnitedHealth Commercial,GP,67.46,,,224.87,1,240.33,Fee Schedule,negotiated rate
HOT-COLD PACKS PT,1814937,CDM,BOTH,,,32.23,32.23,UnitedHealth,UnitedHealth Commercial,GP,7.74,,,25.78,1,240.33,Fee Schedule,negotiated rate
HOT-COLD PACKS PTA,1815025,CDM,BOTH,,,32.23,32.23,UnitedHealth,UnitedHealth Commercial,GP,7.74,,,25.78,1,27.56,Fee Schedule,negotiated rate
MECH TRACTN-VST PT,1814938,CDM,BOTH,,,138.17,138.17,UnitedHealth,UnitedHealth Commercial,GP,33.16,,,110.54,12.93,96.72,Fee Schedule,negotiated rate
MECH TRACTN-VST PTA,1815026,CDM,BOTH,,,138.17,138.17,UnitedHealth,UnitedHealth Commercial,GP,33.16,,,110.54,12.93,118.14,Fee Schedule,negotiated rate
VASPNEUM DEV-VIS PT,1814939,CDM,BOTH,,,90.57,90.57,UnitedHealth,UnitedHealth Commercial,GP,21.74,,,72.46,10.63,118.14,Fee Schedule,negotiated rate
VASPNEUM DEV-VIS PTA,1815027,CDM,BOTH,,,90.57,90.57,UnitedHealth,UnitedHealth Commercial,GP,21.74,,,72.46,10.63,77.44,Fee Schedule,negotiated rate
PARAF BATH-VISIT PT,1814940,CDM,BOTH,,,85.98,85.98,UnitedHealth,UnitedHealth Commercial,GP,20.64,,,68.78,5,77.44,Fee Schedule,negotiated rate
PARAF BATH-VISIT PTA,1815028,CDM,BOTH,,,85.98,85.98,UnitedHealth,UnitedHealth Commercial,GP,20.64,,,68.78,5,73.51,Fee Schedule,negotiated rate
WHRLPL THRPY-VST PT,1814941,CDM,BOTH,,,135.12,135.12,UnitedHealth,UnitedHealth Commercial,GP,32.43,,,108.1,13.35,94.58,Fee Schedule,negotiated rate
