hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|CA,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",general_contract_provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Martin Community Hospital,1/9/2025,1.0.0,Lake Martin Community Hospital,"201 Mariarden Rd, Dadeville, AL 36853",H6202,TRUE,"When total claim charges exceed $200,000.00 for a Platform Health Insurance plan, the entire claim will be reimbursed at 50% of charges. This amount will supersede any other contracted rate that would otherwise apply. When total claim charges exceed $250,000.00 for a Region Health Insurance plan, the entire claim will be reimbursed at 45% of charges. This amount will supersede any other contracted rate that would otherwise apply.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,code|1,code|1|type,code|2,code|2|type,modifiers,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,standard_charge|MEDICARE|negotiated_dollar,standard_charge|MEDICARE|negotiated_percentage,standard_charge|MEDICARE|negotiated_algorithm,estimated_amount|MEDICARE|,standard_charge|MEDICARE|methodology,additional_payer_notes|MEDICARE|,standard_charge|TRICARE|ALL PLANS|negotiated_dollar,standard_charge|TRICARE|ALL PLANS|negotiated_percentage,standard_charge|TRICARE|ALL PLANS|negotiated_algorithm,estimated_amount|TRICARE|ALL PLANS,standard_charge|TRICARE|ALL PLANS|methodology,additional_payer_notes|TRICARE|ALL PLANS,standard_charge|MEDICAID|negotiated_dollar,standard_charge|MEDICAID|negotiated_percentage,standard_charge|MEDICAID|negotiated_algorithm,estimated_amount|MEDICAID|,standard_charge|MEDICAID|methodology,additional_payer_notes|MEDICAID|,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_dollar,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_percentage,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_algorithm,estimated_amount|VIVA MEDICARE ALL PLANS|,standard_charge|VIVA MEDICARE ALL PLANS|methodology,additional_payer_notes|VIVA MEDICARE ALL PLANS|,standard_charge|HUMANA ALL PLANS|negotiated_dollar,standard_charge|HUMANA ALL PLANS|negotiated_percentage,standard_charge|HUMANA ALL PLANS|negotiated_algorithm,estimated_amount|HUMANA ALL PLANS|,standard_charge|HUMANA ALL PLANS|methodology,additional_payer_notes|HUMANA ALL PLANS|,standard_charge|min,standard_charge|max,additional_generic_notes
GLUCOSE TOLER 4 HR,82951,CPT,,,,BOTH,,,33,16.5,12.87,,,,FEE SCHEDULE,,11.58,,,,FEE SCHEDULE,,13.32,,,,FEE SCHEDULE,,12.87,,,,FEE SCHEDULE,,,85,,28.05,PERCENTAGE OF TOTAL BILLED CHARGES,,11.58,16.5,
GLUCOSE TOLER 5 HR,82951,CPT,,,,BOTH,,,33,16.5,12.87,,,,FEE SCHEDULE,,11.58,,,,FEE SCHEDULE,,13.32,,,,FEE SCHEDULE,,12.87,,,,FEE SCHEDULE,,,85,,28.05,PERCENTAGE OF TOTAL BILLED CHARGES,,11.58,16.5,
GLUCOSE TOLER 6 HR,82951,CPT,,,,BOTH,,,33,16.5,12.87,,,,FEE SCHEDULE,,11.58,,,,FEE SCHEDULE,,13.32,,,,FEE SCHEDULE,,12.87,,,,FEE SCHEDULE,,,85,,28.05,PERCENTAGE OF TOTAL BILLED CHARGES,,11.58,16.5,
GLUCOSE TOLER 1 HR,82951,CPT,,,,BOTH,,,33,16.5,12.87,,,,FEE SCHEDULE,,11.58,,,,FEE SCHEDULE,,13.32,,,,FEE SCHEDULE,,12.87,,,,FEE SCHEDULE,,,85,,28.05,PERCENTAGE OF TOTAL BILLED CHARGES,,11.58,16.5,
GLUCOSE TOLER 2 HR,82951,CPT,,,,BOTH,,,33,16.5,12.87,,,,FEE SCHEDULE,,11.58,,,,FEE SCHEDULE,,13.32,,,,FEE SCHEDULE,,12.87,,,,FEE SCHEDULE,,,85,,28.05,PERCENTAGE OF TOTAL BILLED CHARGES,,11.58,16.5,
GTT 1ST 3 SPECIMEN,82951,CPT,,,,BOTH,,,54,27,12.87,,,,FEE SCHEDULE,,11.58,,,,FEE SCHEDULE,,13.32,,,,FEE SCHEDULE,,12.87,,,,FEE SCHEDULE,,,85,,45.9,PERCENTAGE OF TOTAL BILLED CHARGES,,11.58,27,
GTT EACH>3,82952,CPT,,,,BOTH,,,18,9,3.92,,,,FEE SCHEDULE,,3.53,,,,FEE SCHEDULE,,6.2,,,,FEE SCHEDULE,,3.92,,,,FEE SCHEDULE,,,85,,15.3,PERCENTAGE OF TOTAL BILLED CHARGES,,3.53,9,
G-6-P-D (Q500) (AEL),82955,CPT,,,,BOTH,,,25,12.5,9.7,,,,FEE SCHEDULE,,8.73,,,,FEE SCHEDULE,,19.54,,,,FEE SCHEDULE,,9.7,,,,FEE SCHEDULE,,,85,,21.25,PERCENTAGE OF TOTAL BILLED CHARGES,,8.73,19.54,
GLUCOSCAN,82962,CPT,,,,BOTH,,,9,4.5,3.28,,,,FEE SCHEDULE,,2.95,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,3.28,,,,FEE SCHEDULE,,,85,,7.65,PERCENTAGE OF TOTAL BILLED CHARGES,,2.95,4.5,
GGT,82977,CPT,,,,BOTH,,,18,9,7.2,,,,FEE SCHEDULE,,6.48,,,,FEE SCHEDULE,,9.75,,,,FEE SCHEDULE,,7.2,,,,FEE SCHEDULE,,,85,,15.3,PERCENTAGE OF TOTAL BILLED CHARGES,,6.48,9.75,
FRUCTOSAMINE,82985,CPT,,,,BOTH,,,56,28,16.76,,,,FEE SCHEDULE,,15.08,,,,FEE SCHEDULE,,13.9,,,,FEE SCHEDULE,,16.76,,,,FEE SCHEDULE,,,85,,47.6,PERCENTAGE OF TOTAL BILLED CHARGES,,13.9,28,
FSH  (AEL),83001,CPT,,,,BOTH,,,47,23.5,18.58,,,,FEE SCHEDULE,,16.72,,,,FEE SCHEDULE,,32,,,,FEE SCHEDULE,,18.58,,,,FEE SCHEDULE,,,85,,39.95,PERCENTAGE OF TOTAL BILLED CHARGES,,16.72,32,
FSH PEDIATRICS (AEL),83001,CPT,,,,BOTH,,,47,23.5,18.58,,,,FEE SCHEDULE,,16.72,,,,FEE SCHEDULE,,32,,,,FEE SCHEDULE,,18.58,,,,FEE SCHEDULE,,,85,,39.95,PERCENTAGE OF TOTAL BILLED CHARGES,,16.72,32,
LH PEDIATRICS (AEL),83002,CPT,,,,BOTH,,,47,23.5,18.52,,,,FEE SCHEDULE,,16.67,,,,FEE SCHEDULE,,31.76,,,,FEE SCHEDULE,,18.52,,,,FEE SCHEDULE,,,85,,39.95,PERCENTAGE OF TOTAL BILLED CHARGES,,16.67,31.76,
LH (ADULTS) (AEL),83002,CPT,,,,BOTH,,,47,23.5,18.52,,,,FEE SCHEDULE,,16.67,,,,FEE SCHEDULE,,31.76,,,,FEE SCHEDULE,,18.52,,,,FEE SCHEDULE,,,85,,39.95,PERCENTAGE OF TOTAL BILLED CHARGES,,16.67,31.76,
GROWTH HORMONE (AEL),83003,CPT,,,,BOTH,,,42,21,16.67,,,,FEE SCHEDULE,,15,,,,FEE SCHEDULE,,24.87,,,,FEE SCHEDULE,,16.67,,,,FEE SCHEDULE,,,85,,35.7,PERCENTAGE OF TOTAL BILLED CHARGES,,15,24.87,
HAPTOGLOBIN,83010,CPT,,,,BOTH,,,52.74,26.37,12.58,,,,FEE SCHEDULE,,11.32,,,,FEE SCHEDULE,,16,,,,FEE SCHEDULE,,12.58,,,,FEE SCHEDULE,,,85,,44.829,PERCENTAGE OF TOTAL BILLED CHARGES,,11.32,26.37,
HAPTOGLOBIN,83010,CPT,,,,BOTH,,,52.74,26.37,12.58,,,,FEE SCHEDULE,,11.32,,,,FEE SCHEDULE,,16,,,,FEE SCHEDULE,,12.58,,,,FEE SCHEDULE,,,85,,44.829,PERCENTAGE OF TOTAL BILLED CHARGES,,11.32,26.37,
HAPTOGLOBIN (AEL),83010,CPT,,,,BOTH,,,32,16,12.58,,,,FEE SCHEDULE,,11.32,,,,FEE SCHEDULE,,16,,,,FEE SCHEDULE,,12.58,,,,FEE SCHEDULE,,,85,,27.2,PERCENTAGE OF TOTAL BILLED CHARGES,,11.32,16,
H PYLORI BREATH TEST (AEL),83013,CPT,,,,BOTH,,,169,84.5,67.36,,,,FEE SCHEDULE,,60.62,,,,FEE SCHEDULE,,25.21,,,,FEE SCHEDULE,,67.36,,,,FEE SCHEDULE,,,85,,143.65,PERCENTAGE OF TOTAL BILLED CHARGES,,25.21,84.5,
H PYLORI BREATH TEST PEDIATRIC(AEL),83013,CPT,,,,BOTH,,,169,84.5,67.36,,,,FEE SCHEDULE,,60.62,,,,FEE SCHEDULE,,25.21,,,,FEE SCHEDULE,,67.36,,,,FEE SCHEDULE,,,85,,143.65,PERCENTAGE OF TOTAL BILLED CHARGES,,25.21,84.5,
H PYLORI BREATH ADMIN/COLLECTION OF SAMP,83014,CPT,,,,BOTH,,,20,10,7.86,,,,FEE SCHEDULE,,7.07,,,,FEE SCHEDULE,,100.85,,,,FEE SCHEDULE,,7.86,,,,FEE SCHEDULE,,,85,,17,PERCENTAGE OF TOTAL BILLED CHARGES,,7.07,100.85,
COBALT (AEL),83018,CPT,,,,BOTH,,,55,27.5,21.96,,,,FEE SCHEDULE,,19.76,,,,FEE SCHEDULE,,33.48,,,,FEE SCHEDULE,,21.96,,,,FEE SCHEDULE,,,85,,46.75,PERCENTAGE OF TOTAL BILLED CHARGES,,19.76,33.48,
"IODINE, SERUM (AEL)",83018,CPT,,,,BOTH,,,55,27.5,21.96,,,,FEE SCHEDULE,,19.76,,,,FEE SCHEDULE,,33.48,,,,FEE SCHEDULE,,21.96,,,,FEE SCHEDULE,,,85,,46.75,PERCENTAGE OF TOTAL BILLED CHARGES,,19.76,33.48,
HGB FRACTIONATION,83020,CPT,,,,BOTH,,,87,43.5,12.87,,,,FEE SCHEDULE,,11.58,,,,FEE SCHEDULE,,25.07,,,,FEE SCHEDULE,,12.87,,,,FEE SCHEDULE,,,85,,73.95,PERCENTAGE OF TOTAL BILLED CHARGES,,11.58,43.5,
HEMOGLOBINOPATHY EVALUATION (AEL),83021,CPT,,,,BOTH,,,46,23,18.06,,,,FEE SCHEDULE,,16.25,,,,FEE SCHEDULE,,24.41,,,,FEE SCHEDULE,,18.06,,,,FEE SCHEDULE,,,85,,39.1,PERCENTAGE OF TOTAL BILLED CHARGES,,16.25,24.41,
HEMOGLOBIN A1C,83036,CPT,,,,BOTH,,,25,12.5,9.71,,,,FEE SCHEDULE,,8.74,,,,FEE SCHEDULE,,18.66,,,,FEE SCHEDULE,,9.71,,,,FEE SCHEDULE,,,85,,21.25,PERCENTAGE OF TOTAL BILLED CHARGES,,8.74,18.66,
CHL HEMOGLOBIN A1C,83036,CPT,,,,BOTH,,,25,12.5,9.71,,,,FEE SCHEDULE,,8.74,,,,FEE SCHEDULE,,18.66,,,,FEE SCHEDULE,,9.71,,,,FEE SCHEDULE,,,85,,21.25,PERCENTAGE OF TOTAL BILLED CHARGES,,8.74,18.66,
PREMIER HEMOGLOBIN A1C,83036,CPT,,,,BOTH,,,25,12.5,9.71,,,,FEE SCHEDULE,,8.74,,,,FEE SCHEDULE,,18.66,,,,FEE SCHEDULE,,9.71,,,,FEE SCHEDULE,,,85,,21.25,PERCENTAGE OF TOTAL BILLED CHARGES,,8.74,18.66,
HEMOGLOBIN A1C LM MEDSPA,83036,CPT,,,,BOTH,,,25,12.5,9.71,,,,FEE SCHEDULE,,8.74,,,,FEE SCHEDULE,,18.66,,,,FEE SCHEDULE,,9.71,,,,FEE SCHEDULE,,,85,,21.25,PERCENTAGE OF TOTAL BILLED CHARGES,,8.74,18.66,
HEMOGLOBIN A1C (AEL),83036,CPT,,,,BOTH,,,25,12.5,9.71,,,,FEE SCHEDULE,,8.74,,,,FEE SCHEDULE,,18.66,,,,FEE SCHEDULE,,9.71,,,,FEE SCHEDULE,,,85,,21.25,PERCENTAGE OF TOTAL BILLED CHARGES,,8.74,18.66,
HISTAMINE BLOOD,83088,CPT,,,,BOTH,,,206,103,29.53,,,,FEE SCHEDULE,,26.58,,,,FEE SCHEDULE,,37.04,,,,FEE SCHEDULE,,29.53,,,,FEE SCHEDULE,,,85,,175.1,PERCENTAGE OF TOTAL BILLED CHARGES,,26.58,103,
HISTAMINE URINE,83088,CPT,,,,BOTH,,,311,155.5,29.53,,,,FEE SCHEDULE,,26.58,,,,FEE SCHEDULE,,37.04,,,,FEE SCHEDULE,,29.53,,,,FEE SCHEDULE,,,85,,264.35,PERCENTAGE OF TOTAL BILLED CHARGES,,26.58,155.5,
HOMOCYSTEINE NUT &CONGENITAL,83090,CPT,,,,BOTH,,,70.71,35.36,17.92,,,,FEE SCHEDULE,,16.13,,,,FEE SCHEDULE,,23.72,,,,FEE SCHEDULE,,17.92,,,,FEE SCHEDULE,,,85,,60.1035,PERCENTAGE OF TOTAL BILLED CHARGES,,16.13,35.36,
PREMIER HOMOCYSTEINE,83090,CPT,,,,BOTH,,,45,22.5,17.92,,,,FEE SCHEDULE,,16.13,,,,FEE SCHEDULE,,23.72,,,,FEE SCHEDULE,,17.92,,,,FEE SCHEDULE,,,85,,38.25,PERCENTAGE OF TOTAL BILLED CHARGES,,16.13,23.72,
HOMOCYSTEINE (AEL),83090,CPT,,,,BOTH,,,45,22.5,17.92,,,,FEE SCHEDULE,,16.13,,,,FEE SCHEDULE,,23.72,,,,FEE SCHEDULE,,17.92,,,,FEE SCHEDULE,,,85,,38.25,PERCENTAGE OF TOTAL BILLED CHARGES,,16.13,23.72,
24 HR UR 17 OH-CORTICOSTER/17 KETOSTERIO,83491,CPT,,,,BOTH,,,93,46.5,17.9,,,,FEE SCHEDULE,,16.11,,,,FEE SCHEDULE,,20.79,,,,FEE SCHEDULE,,17.9,,,,FEE SCHEDULE,,,85,,79.05,PERCENTAGE OF TOTAL BILLED CHARGES,,16.11,46.5,
24 HR UR 17 OH-CORTICOSTER/17 KETOSTERI,83491,CPT,,,,BOTH,,,45,22.5,17.9,,,,FEE SCHEDULE,,16.11,,,,FEE SCHEDULE,,20.79,,,,FEE SCHEDULE,,17.9,,,,FEE SCHEDULE,,,85,,38.25,PERCENTAGE OF TOTAL BILLED CHARGES,,16.11,22.5,
24 HOUR URINE CREATININE,83497,CPT,,,,BOTH,,,33,16.5,12.9,,,,FEE SCHEDULE,,11.61,,,,FEE SCHEDULE,,3.54,,,,FEE SCHEDULE,,12.9,,,,FEE SCHEDULE,,,85,,28.05,PERCENTAGE OF TOTAL BILLED CHARGES,,3.54,16.5,
SEROTONIN (URINE),83497,CPT,,,,BOTH,,,218,109,12.9,,,,FEE SCHEDULE,,11.61,,,,FEE SCHEDULE,,3.54,,,,FEE SCHEDULE,,12.9,,,,FEE SCHEDULE,,,85,,185.3,PERCENTAGE OF TOTAL BILLED CHARGES,,3.54,109,
HYDROXYIADOLEACETIC ACID URINE,83497,CPT,,,,BOTH,,,30,15,12.9,,,,FEE SCHEDULE,,11.61,,,,FEE SCHEDULE,,3.54,,,,FEE SCHEDULE,,12.9,,,,FEE SCHEDULE,,,85,,25.5,PERCENTAGE OF TOTAL BILLED CHARGES,,3.54,15,
24 HR UR 5-HIAA W/CREATININE (AEL),83497,CPT,,,,BOTH,,,33,16.5,12.9,,,,FEE SCHEDULE,,11.61,,,,FEE SCHEDULE,,3.54,,,,FEE SCHEDULE,,12.9,,,,FEE SCHEDULE,,,85,,28.05,PERCENTAGE OF TOTAL BILLED CHARGES,,3.54,16.5,
17 HYDROXYPROGESTERONE LC/MS/MS (AEL),83498,CPT,,,,BOTH,,,68,34,27.17,,,,FEE SCHEDULE,,24.45,,,,FEE SCHEDULE,,39.68,,,,FEE SCHEDULE,,27.17,,,,FEE SCHEDULE,,,85,,57.8,PERCENTAGE OF TOTAL BILLED CHARGES,,24.45,39.68,
BULLOUS PEMPHIGOID IGG ANTIBODIES (AEL),83516,CPT,,,,BOTH,,,29,14.5,11.53,,,,FEE SCHEDULE,,10.38,,,,FEE SCHEDULE,,20.76,,,,FEE SCHEDULE,,11.53,,,,FEE SCHEDULE,,,85,,24.65,PERCENTAGE OF TOTAL BILLED CHARGES,,10.38,20.76,
DESMOGLEIN 1 & DESMOGLEIN 3  ABS (AEL),83516,CPT,,,,BOTH,,,29,14.5,11.53,,,,FEE SCHEDULE,,10.38,,,,FEE SCHEDULE,,20.76,,,,FEE SCHEDULE,,11.53,,,,FEE SCHEDULE,,,85,,24.65,PERCENTAGE OF TOTAL BILLED CHARGES,,10.38,20.76,
ANTI SMOOTH MUSCLE AB,83516,CPT,,,,BOTH,,,31,15.5,11.53,,,,FEE SCHEDULE,,10.38,,,,FEE SCHEDULE,,20.76,,,,FEE SCHEDULE,,11.53,,,,FEE SCHEDULE,,,85,,26.35,PERCENTAGE OF TOTAL BILLED CHARGES,,10.38,20.76,
ENA9 (83516) (AEL REFLEX CHARGE),83516,CPT,,,,BOTH,,,29,14.5,11.53,,,,FEE SCHEDULE,,10.38,,,,FEE SCHEDULE,,20.76,,,,FEE SCHEDULE,,11.53,,,,FEE SCHEDULE,,,85,,24.65,PERCENTAGE OF TOTAL BILLED CHARGES,,10.38,20.76,
GLIADIN Ab,83516,CPT,,,,BOTH,,,300,150,11.53,,,,FEE SCHEDULE,,10.38,,,,FEE SCHEDULE,,20.76,,,,FEE SCHEDULE,,11.53,,,,FEE SCHEDULE,,,85,,255,PERCENTAGE OF TOTAL BILLED CHARGES,,10.38,150,
TISSUE TRANSGLUTAMINASE ANTIBODIES,83516,CPT,,,,BOTH,,,70,35,11.53,,,,FEE SCHEDULE,,10.38,,,,FEE SCHEDULE,,20.76,,,,FEE SCHEDULE,,11.53,,,,FEE SCHEDULE,,,85,,59.5,PERCENTAGE OF TOTAL BILLED CHARGES,,10.38,35,
ANTI SMOOTH MUSCLE AB (AEL),83516,CPT,,,,BOTH,,,31,15.5,11.53,,,,FEE SCHEDULE,,10.38,,,,FEE SCHEDULE,,20.76,,,,FEE SCHEDULE,,11.53,,,,FEE SCHEDULE,,,85,,26.35,PERCENTAGE OF TOTAL BILLED CHARGES,,10.38,20.76,
CHL OXIDIZED LDL,83516,CPT,,,,BOTH,,,14,7,11.53,,,,FEE SCHEDULE,,10.38,,,,FEE SCHEDULE,,20.76,,,,FEE SCHEDULE,,11.53,,,,FEE SCHEDULE,,,85,,11.9,PERCENTAGE OF TOTAL BILLED CHARGES,,10.38,20.76,
PREMIER OXIDIZED LDL,83516,CPT,,,,BOTH,,,29,14.5,11.53,,,,FEE SCHEDULE,,10.38,,,,FEE SCHEDULE,,20.76,,,,FEE SCHEDULE,,11.53,,,,FEE SCHEDULE,,,85,,24.65,PERCENTAGE OF TOTAL BILLED CHARGES,,10.38,20.76,
TISSUE TRANSGLUTAMINASE IGG (AEL),83516,CPT,,,,BOTH,,,29,14.5,11.53,,,,FEE SCHEDULE,,10.38,,,,FEE SCHEDULE,,20.76,,,,FEE SCHEDULE,,11.53,,,,FEE SCHEDULE,,,85,,24.65,PERCENTAGE OF TOTAL BILLED CHARGES,,10.38,20.76,
CELIAC DISEASE COMP PANEL INFANT(AEL),83516,CPT,,,,BOTH,,,29,14.5,11.53,,,,FEE SCHEDULE,,10.38,,,,FEE SCHEDULE,,20.76,,,,FEE SCHEDULE,,11.53,,,,FEE SCHEDULE,,,85,,24.65,PERCENTAGE OF TOTAL BILLED CHARGES,,10.38,20.76,
ACETYLCHOLINE RECEPTOR BLOCKING AB (AEL),83516,CPT,,,,BOTH,,,46,23,11.53,,,,FEE SCHEDULE,,10.38,,,,FEE SCHEDULE,,20.76,,,,FEE SCHEDULE,,11.53,,,,FEE SCHEDULE,,,85,,39.1,PERCENTAGE OF TOTAL BILLED CHARGES,,10.38,23,
GLIADIN ANTIBODY IGA (AEL),83516,CPT,,,,BOTH,,,29,14.5,11.53,,,,FEE SCHEDULE,,10.38,,,,FEE SCHEDULE,,20.76,,,,FEE SCHEDULE,,11.53,,,,FEE SCHEDULE,,,85,,24.65,PERCENTAGE OF TOTAL BILLED CHARGES,,10.38,20.76,
TISSUE TRANSGLUTAMINASE IGA (AEL),83516,CPT,,,,BOTH,,,29,14.5,11.53,,,,FEE SCHEDULE,,10.38,,,,FEE SCHEDULE,,20.76,,,,FEE SCHEDULE,,11.53,,,,FEE SCHEDULE,,,85,,24.65,PERCENTAGE OF TOTAL BILLED CHARGES,,10.38,20.76,
ACTIN (SMOOTH MUSCLE) AB (IGG) (AEL),83516,CPT,,,,BOTH,,,29,14.5,11.53,,,,FEE SCHEDULE,,10.38,,,,FEE SCHEDULE,,20.76,,,,FEE SCHEDULE,,11.53,,,,FEE SCHEDULE,,,85,,24.65,PERCENTAGE OF TOTAL BILLED CHARGES,,10.38,20.76,
AQP4 (NMO-IGG) AUTOANTIBODY TEST(AEL),83516,CPT,,,,BOTH,,,29,14.5,11.53,,,,FEE SCHEDULE,,10.38,,,,FEE SCHEDULE,,20.76,,,,FEE SCHEDULE,,11.53,,,,FEE SCHEDULE,,,85,,24.65,PERCENTAGE OF TOTAL BILLED CHARGES,,10.38,20.76,
GLIADIN (IGG / IGA) (AEL),83516,CPT,,,,BOTH,,,29,14.5,11.53,,,,FEE SCHEDULE,,10.38,,,,FEE SCHEDULE,,20.76,,,,FEE SCHEDULE,,11.53,,,,FEE SCHEDULE,,,85,,24.65,PERCENTAGE OF TOTAL BILLED CHARGES,,10.38,20.76,
ACETYLCHOLINE RECEPTOR  AB REFLEX PANEL,83516,CPT,,,,BOTH,,,75,37.5,11.53,,,,FEE SCHEDULE,,10.38,,,,FEE SCHEDULE,,20.76,,,,FEE SCHEDULE,,11.53,,,,FEE SCHEDULE,,,85,,63.75,PERCENTAGE OF TOTAL BILLED CHARGES,,10.38,37.5,
ACETYLCHOLINE RECEPTOR BINDING AB (AEL),83519,CPT,,,,BOTH,,,46,23,18.4,,,,FEE SCHEDULE,,16.56,,,,FEE SCHEDULE,,15.84,,,,FEE SCHEDULE,,18.4,,,,FEE SCHEDULE,,,85,,39.1,PERCENTAGE OF TOTAL BILLED CHARGES,,15.84,23,
PTH- RELATED PROTEIN,83519,CPT,,,,BOTH,,,35,17.5,18.4,,,,FEE SCHEDULE,,16.56,,,,FEE SCHEDULE,,15.84,,,,FEE SCHEDULE,,18.4,,,,FEE SCHEDULE,,,85,,29.75,PERCENTAGE OF TOTAL BILLED CHARGES,,15.84,18.4,
PTH-RELATED PROTEIN,83519,CPT,,,,BOTH,,,35,17.5,18.4,,,,FEE SCHEDULE,,16.56,,,,FEE SCHEDULE,,15.84,,,,FEE SCHEDULE,,18.4,,,,FEE SCHEDULE,,,85,,29.75,PERCENTAGE OF TOTAL BILLED CHARGES,,15.84,18.4,
MYASTHENIA GRAVIS PANEL 1,83519,CPT,,,,BOTH,,,394.98,197.49,18.4,,,,FEE SCHEDULE,,16.56,,,,FEE SCHEDULE,,15.84,,,,FEE SCHEDULE,,18.4,,,,FEE SCHEDULE,,,85,,335.733,PERCENTAGE OF TOTAL BILLED CHARGES,,15.84,197.49,
ACETYLCHOLINE RECEPTOR BLOCKING AB 34459,83519,CPT,,,,BOTH,,,63,31.5,18.4,,,,FEE SCHEDULE,,16.56,,,,FEE SCHEDULE,,15.84,,,,FEE SCHEDULE,,18.4,,,,FEE SCHEDULE,,,85,,53.55,PERCENTAGE OF TOTAL BILLED CHARGES,,15.84,31.5,
ACETYLCHOLINE RECEPTOR MODULATING AB,83519,CPT,,,,BOTH,,,63,31.5,18.4,,,,FEE SCHEDULE,,16.56,,,,FEE SCHEDULE,,15.84,,,,FEE SCHEDULE,,18.4,,,,FEE SCHEDULE,,,85,,53.55,PERCENTAGE OF TOTAL BILLED CHARGES,,15.84,31.5,
TBII (AEL),83519,CPT,,,,BOTH,,,46,23,18.4,,,,FEE SCHEDULE,,16.56,,,,FEE SCHEDULE,,15.84,,,,FEE SCHEDULE,,18.4,,,,FEE SCHEDULE,,,85,,39.1,PERCENTAGE OF TOTAL BILLED CHARGES,,15.84,23,
TSH (AEL),83519,CPT,,,,BOTH,,,46,23,18.4,,,,FEE SCHEDULE,,16.56,,,,FEE SCHEDULE,,15.84,,,,FEE SCHEDULE,,18.4,,,,FEE SCHEDULE,,,85,,39.1,PERCENTAGE OF TOTAL BILLED CHARGES,,15.84,23,
IGF BINDING PROTEIN-3 (AEL),83519,CPT,,,,BOTH,,,46,23,18.4,,,,FEE SCHEDULE,,16.56,,,,FEE SCHEDULE,,15.84,,,,FEE SCHEDULE,,18.4,,,,FEE SCHEDULE,,,85,,39.1,PERCENTAGE OF TOTAL BILLED CHARGES,,15.84,23,
MUSK ANTIBODY IGG (AEL),83519,CPT,,,,BOTH,,,46,23,18.4,,,,FEE SCHEDULE,,16.56,,,,FEE SCHEDULE,,15.84,,,,FEE SCHEDULE,,18.4,,,,FEE SCHEDULE,,,85,,39.1,PERCENTAGE OF TOTAL BILLED CHARGES,,15.84,23,
DISOPYRAMIDLE (NORP,83520,CPT,,,,BOTH,,,44,22,17.27,,,,FEE SCHEDULE,,15.54,,,,FEE SCHEDULE,,24.87,,,,FEE SCHEDULE,,17.27,,,,FEE SCHEDULE,,,85,,37.4,PERCENTAGE OF TOTAL BILLED CHARGES,,15.54,24.87,
NEOSEM PARANEOPLASTIC SENSOMOTOR PANEL,83520,CPT,,,,BOTH,,,44,22,17.27,,,,FEE SCHEDULE,,15.54,,,,FEE SCHEDULE,,24.87,,,,FEE SCHEDULE,,17.27,,,,FEE SCHEDULE,,,85,,37.4,PERCENTAGE OF TOTAL BILLED CHARGES,,15.54,24.87,
NEOSM PARANEOPLASTIC SEN.PROFILE,83520,CPT,,,,BOTH,,,44,22,17.27,,,,FEE SCHEDULE,,15.54,,,,FEE SCHEDULE,,24.87,,,,FEE SCHEDULE,,17.27,,,,FEE SCHEDULE,,,85,,37.4,PERCENTAGE OF TOTAL BILLED CHARGES,,15.54,24.87,
VON WILLEBRAND COMPREHENSIVE PANEL,83520,CPT,,,,BOTH,,,44,22,17.27,,,,FEE SCHEDULE,,15.54,,,,FEE SCHEDULE,,24.87,,,,FEE SCHEDULE,,17.27,,,,FEE SCHEDULE,,,85,,37.4,PERCENTAGE OF TOTAL BILLED CHARGES,,15.54,24.87,
TRYPTASE,83520,CPT,,,,BOTH,,,44,22,17.27,,,,FEE SCHEDULE,,15.54,,,,FEE SCHEDULE,,24.87,,,,FEE SCHEDULE,,17.27,,,,FEE SCHEDULE,,,85,,37.4,PERCENTAGE OF TOTAL BILLED CHARGES,,15.54,24.87,
GANGLIOSIDE GM-1 AB IGG/IGM (AEL),83520,CPT,,,,BOTH,,,44,22,17.27,,,,FEE SCHEDULE,,15.54,,,,FEE SCHEDULE,,24.87,,,,FEE SCHEDULE,,17.27,,,,FEE SCHEDULE,,,85,,37.4,PERCENTAGE OF TOTAL BILLED CHARGES,,15.54,24.87,
METHOTREXATE,83520,CPT,,,,BOTH,,,44,22,17.27,,,,FEE SCHEDULE,,15.54,,,,FEE SCHEDULE,,24.87,,,,FEE SCHEDULE,,17.27,,,,FEE SCHEDULE,,,85,,37.4,PERCENTAGE OF TOTAL BILLED CHARGES,,15.54,24.87,
VON WILLEBRAND COMP PANEL (AEL),83520,CPT,,,,BOTH,,,44,22,17.27,,,,FEE SCHEDULE,,15.54,,,,FEE SCHEDULE,,24.87,,,,FEE SCHEDULE,,17.27,,,,FEE SCHEDULE,,,85,,37.4,PERCENTAGE OF TOTAL BILLED CHARGES,,15.54,24.87,
