Encompass Health Rehabilitation Hospital of Dothan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1736 East Main St., Dothan, AL 36301-3040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State License # - H3504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicare (CCN) # - 013030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hospital Financial Aide Policy - Our hospital offers a financial aide policy.  For more information go to the hospital's main website and click on ""For Patients"" and then select ""Financial Assistance""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 1: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 2: SHOPPABLE SERVICE NOT OFFERED AT HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 3: Plan does not pay our hospital for the SHOPPABLE_SERVICES and/or the BILLING_REVENUE_SERVICE_CODE beginning with CMG. The Negotiated Charge for a specific Plan will only be displayed for applicable SHOPPABLE_SERVICES.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,AMBETTER AL EXCHANGE (AALZ) negotiated charge,ASCENSION COMPLETE MCR (ASCM) negotiated charge,BC FEP (BCFD) negotiated charge,BC/BS ALABAMA (BCAL) negotiated charge,BCBS AL BLUE ADVANTAGE (BCAD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,BLUE CROSS OUT OF STATE (BCBS) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,MEDICARE (MCR) negotiated charge,MULTIPLAN WORK COMP (MULW) negotiated charge,PARADIGM WORK COMP (PARW) negotiated charge,THREE RIVERS HEALTH WC (TRPW) negotiated charge,TRICARE (TRI) negotiated charge,TRICARE FOR LIFE (TRIM) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE EXCHANG (UHCZ) negotiated charge,UNITED HLTHCARE MEDICARE (UHCM) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$18404.24,$21652.05,Note 3,$21652.05,Note 3,Note 3,$21652.05,Note 3,Note 3,$20569.45,Note 3,Note 3,Note 3,$21652.05,Note 3,$21652.05,$21652.05,Note 3,$21652.05,Note 3,$21652.05,$21652.05,$21652.05,Note 3,Note 3,$20569.45,Note 3,$18404.24,$21652.05
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$25066.58,$29490.10,Note 3,$29490.10,Note 3,Note 3,$29490.10,Note 3,Note 3,$28015.59,Note 3,Note 3,Note 3,$29490.10,Note 3,$29490.10,$29490.10,Note 3,$29490.10,Note 3,$29490.10,$29490.10,$29490.10,Note 3,Note 3,$28015.59,Note 3,$25066.58,$29490.10
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$20725.24,$24382.64,Note 3,$24382.64,Note 3,Note 3,$24382.64,Note 3,Note 3,$23163.51,Note 3,Note 3,Note 3,$24382.64,Note 3,$24382.64,$24382.64,Note 3,$24382.64,Note 3,$24382.64,$24382.64,$24382.64,Note 3,Note 3,$23163.51,Note 3,$20725.24,$24382.64
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$19782.91,$23274.01,Note 3,$23274.01,Note 3,Note 3,$23274.01,Note 3,Note 3,$22110.31,Note 3,Note 3,Note 3,$23274.01,Note 3,$23274.01,$23274.01,Note 3,$23274.01,Note 3,$23274.01,$23274.01,$23274.01,Note 3,Note 3,$22110.31,Note 3,$19782.91,$23274.01
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$9296.23,$10936.74,Note 3,$10936.74,Note 3,Note 3,$10936.74,Note 3,Note 3,$10389.91,Note 3,Note 3,Note 3,$10936.74,Note 3,$10936.74,$10936.74,Note 3,$10936.74,Note 3,$10936.74,$10936.74,$10936.74,Note 3,Note 3,$10389.91,Note 3,$9296.23,$10936.74
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$13792.79,$16226.81,Note 3,$16226.81,Note 3,Note 3,$16226.81,Note 3,Note 3,$15415.47,Note 3,Note 3,Note 3,$16226.81,Note 3,$16226.81,$16226.81,Note 3,$16226.81,Note 3,$16226.81,$16226.81,$16226.81,Note 3,Note 3,$15415.47,Note 3,$13792.79,$16226.81
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$10865.57,$12783.02,Note 3,$12783.02,Note 3,Note 3,$12783.02,Note 3,Note 3,$12143.87,Note 3,Note 3,Note 3,$12783.02,Note 3,$12783.02,$12783.02,Note 3,$12783.02,Note 3,$12783.02,$12783.02,$12783.02,Note 3,Note 3,$12143.87,Note 3,$10865.57,$12783.02
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$10102.90,$11885.76,Note 3,$11885.76,Note 3,Note 3,$11885.76,Note 3,Note 3,$11291.48,Note 3,Note 3,Note 3,$11885.76,Note 3,$11885.76,$11885.76,Note 3,$11885.76,Note 3,$11885.76,$11885.76,$11885.76,Note 3,Note 3,$11291.48,Note 3,$10102.90,$11885.76
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$11789.57,$13870.08,Note 3,$13870.08,Note 3,Note 3,$13870.08,Note 3,Note 3,$13176.58,Note 3,Note 3,Note 3,$13870.08,Note 3,$13870.08,$13870.08,Note 3,$13870.08,Note 3,$13870.08,$13870.08,$13870.08,Note 3,Note 3,$13176.58,Note 3,$11789.57,$13870.08
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$17492.46,$20579.37,Note 3,$20579.37,Note 3,Note 3,$20579.37,Note 3,Note 3,$19550.40,Note 3,Note 3,Note 3,$20579.37,Note 3,$20579.37,$20579.37,Note 3,$20579.37,Note 3,$20579.37,$20579.37,$20579.37,Note 3,Note 3,$19550.40,Note 3,$17492.46,$20579.37
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$13780.57,$16212.44,Note 3,$16212.44,Note 3,Note 3,$16212.44,Note 3,Note 3,$15401.81,Note 3,Note 3,Note 3,$16212.44,Note 3,$16212.44,$16212.44,Note 3,$16212.44,Note 3,$16212.44,$16212.44,$16212.44,Note 3,Note 3,$15401.81,Note 3,$13780.57,$16212.44
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$12812.57,$15073.61,Note 3,$15073.61,Note 3,Note 3,$15073.61,Note 3,Note 3,$14319.93,Note 3,Note 3,Note 3,$15073.61,Note 3,$15073.61,$15073.61,Note 3,$15073.61,Note 3,$15073.61,$15073.61,$15073.61,Note 3,Note 3,$14319.93,Note 3,$12812.57,$15073.61
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$14425.90,$16971.65,Note 3,$16971.65,Note 3,Note 3,$16971.65,Note 3,Note 3,$16123.07,Note 3,Note 3,Note 3,$16971.65,Note 3,$16971.65,$16971.65,Note 3,$16971.65,Note 3,$16971.65,$16971.65,$16971.65,Note 3,Note 3,$16123.07,Note 3,$14425.90,$16971.65
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$21403.58,$25180.68,Note 3,$25180.68,Note 3,Note 3,$25180.68,Note 3,Note 3,$23921.65,Note 3,Note 3,Note 3,$25180.68,Note 3,$25180.68,$25180.68,Note 3,$25180.68,Note 3,$25180.68,$25180.68,$25180.68,Note 3,Note 3,$23921.65,Note 3,$21403.58,$25180.68
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$16861.80,$19837.41,Note 3,$19837.41,Note 3,Note 3,$19837.41,Note 3,Note 3,$18845.54,Note 3,Note 3,Note 3,$19837.41,Note 3,$19837.41,$19837.41,Note 3,$19837.41,Note 3,$19837.41,$19837.41,$19837.41,Note 3,Note 3,$18845.54,Note 3,$16861.80,$19837.41
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1403-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$15677.46,$18444.07,Note 3,$18444.07,Note 3,Note 3,$18444.07,Note 3,Note 3,$17521.87,Note 3,Note 3,Note 3,$18444.07,Note 3,$18444.07,$18444.07,Note 3,$18444.07,Note 3,$18444.07,$18444.07,$18444.07,Note 3,Note 3,$17521.87,Note 3,$15677.46,$18444.07
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$17675.80,$20795.05,Note 3,$20795.05,Note 3,Note 3,$20795.05,Note 3,Note 3,$19755.30,Note 3,Note 3,Note 3,$20795.05,Note 3,$20795.05,$20795.05,Note 3,$20795.05,Note 3,$20795.05,$20795.05,$20795.05,Note 3,Note 3,$19755.30,Note 3,$17675.80,$20795.05
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$26226.47,$30854.67,Note 3,$30854.67,Note 3,Note 3,$30854.67,Note 3,Note 3,$29311.94,Note 3,Note 3,Note 3,$30854.67,Note 3,$30854.67,$30854.67,Note 3,$30854.67,Note 3,$30854.67,$30854.67,$30854.67,Note 3,Note 3,$29311.94,Note 3,$26226.47,$30854.67
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$20660.47,$24306.43,Note 3,$24306.43,Note 3,Note 3,$24306.43,Note 3,Note 3,$23091.11,Note 3,Note 3,Note 3,$24306.43,Note 3,$24306.43,$24306.43,Note 3,$24306.43,Note 3,$24306.43,$24306.43,$24306.43,Note 3,Note 3,$23091.11,Note 3,$20660.47,$24306.43
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1404-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$19209.69,$22599.63,Note 3,$22599.63,Note 3,Note 3,$22599.63,Note 3,Note 3,$21469.65,Note 3,Note 3,Note 3,$22599.63,Note 3,$22599.63,$22599.63,Note 3,$22599.63,Note 3,$22599.63,$22599.63,$22599.63,Note 3,Note 3,$21469.65,Note 3,$19209.69,$22599.63
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$11117.34,$13079.23,Note 3,$13079.23,Note 3,Note 3,$13079.23,Note 3,Note 3,$12425.27,Note 3,Note 3,Note 3,$13079.23,Note 3,$13079.23,$13079.23,Note 3,$13079.23,Note 3,$13079.23,$13079.23,$13079.23,Note 3,Note 3,$12425.27,Note 3,$11117.34,$13079.23
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$15569.91,$18317.54,Note 3,$18317.54,Note 3,Note 3,$18317.54,Note 3,Note 3,$17401.66,Note 3,Note 3,Note 3,$18317.54,Note 3,$18317.54,$18317.54,Note 3,$18317.54,Note 3,$18317.54,$18317.54,$18317.54,Note 3,Note 3,$17401.66,Note 3,$15569.91,$18317.54
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$12636.57,$14866.55,Note 3,$14866.55,Note 3,Note 3,$14866.55,Note 3,Note 3,$14123.22,Note 3,Note 3,Note 3,$14866.55,Note 3,$14866.55,$14866.55,Note 3,$14866.55,Note 3,$14866.55,$14866.55,$14866.55,Note 3,Note 3,$14123.22,Note 3,$12636.57,$14866.55
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1501-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$11884.90,$13982.24,Note 3,$13982.24,Note 3,Note 3,$13982.24,Note 3,Note 3,$13283.12,Note 3,Note 3,Note 3,$13982.24,Note 3,$13982.24,$13982.24,Note 3,$13982.24,Note 3,$13982.24,$13982.24,$13982.24,Note 3,Note 3,$13283.12,Note 3,$11884.90,$13982.24
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$14103.24,$16592.04,Note 3,$16592.04,Note 3,Note 3,$16592.04,Note 3,Note 3,$15762.44,Note 3,Note 3,Note 3,$16592.04,Note 3,$16592.04,$16592.04,Note 3,$16592.04,Note 3,$16592.04,$16592.04,$16592.04,Note 3,Note 3,$15762.44,Note 3,$14103.24,$16592.04
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$19751.13,$23236.63,Note 3,$23236.63,Note 3,Note 3,$23236.63,Note 3,Note 3,$22074.79,Note 3,Note 3,Note 3,$23236.63,Note 3,$23236.63,$23236.63,Note 3,$23236.63,Note 3,$23236.63,$23236.63,$23236.63,Note 3,Note 3,$22074.79,Note 3,$19751.13,$23236.63
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$16030.68,$18859.63,Note 3,$18859.63,Note 3,Note 3,$18859.63,Note 3,Note 3,$17916.65,Note 3,Note 3,Note 3,$18859.63,Note 3,$18859.63,$18859.63,Note 3,$18859.63,Note 3,$18859.63,$18859.63,$18859.63,Note 3,Note 3,$17916.65,Note 3,$16030.68,$18859.63
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1502-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$15076.13,$17736.62,Note 3,$17736.62,Note 3,Note 3,$17736.62,Note 3,Note 3,$16849.79,Note 3,Note 3,Note 3,$17736.62,Note 3,$17736.62,$17736.62,Note 3,$17736.62,Note 3,$17736.62,$17736.62,$17736.62,Note 3,Note 3,$16849.79,Note 3,$15076.13,$17736.62
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$16028.24,$18856.75,Note 3,$18856.75,Note 3,Note 3,$18856.75,Note 3,Note 3,$17913.91,Note 3,Note 3,Note 3,$18856.75,Note 3,$18856.75,$18856.75,Note 3,$18856.75,Note 3,$18856.75,$18856.75,$18856.75,Note 3,Note 3,$17913.91,Note 3,$16028.24,$18856.75
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$22447.36,$26408.66,Note 3,$26408.66,Note 3,Note 3,$26408.66,Note 3,Note 3,$25088.22,Note 3,Note 3,Note 3,$26408.66,Note 3,$26408.66,$26408.66,Note 3,$26408.66,Note 3,$26408.66,$26408.66,$26408.66,Note 3,Note 3,$25088.22,Note 3,$22447.36,$26408.66
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$18218.46,$21433.49,Note 3,$21433.49,Note 3,Note 3,$21433.49,Note 3,Note 3,$20361.81,Note 3,Note 3,Note 3,$21433.49,Note 3,$21433.49,$21433.49,Note 3,$21433.49,Note 3,$21433.49,$21433.49,$21433.49,Note 3,Note 3,$20361.81,Note 3,$18218.46,$21433.49
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1503-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$17134.35,$20158.06,Note 3,$20158.06,Note 3,Note 3,$20158.06,Note 3,Note 3,$19150.16,Note 3,Note 3,Note 3,$20158.06,Note 3,$20158.06,$20158.06,Note 3,$20158.06,Note 3,$20158.06,$20158.06,$20158.06,Note 3,Note 3,$19150.16,Note 3,$17134.35,$20158.06
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$19848.91,$23351.66,Note 3,$23351.66,Note 3,Note 3,$23351.66,Note 3,Note 3,$22184.08,Note 3,Note 3,Note 3,$23351.66,Note 3,$23351.66,$23351.66,Note 3,$23351.66,Note 3,$23351.66,$23351.66,$23351.66,Note 3,Note 3,$22184.08,Note 3,$19848.91,$23351.66
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$27798.25,$32703.83,Note 3,$32703.83,Note 3,Note 3,$32703.83,Note 3,Note 3,$31068.63,Note 3,Note 3,Note 3,$32703.83,Note 3,$32703.83,$32703.83,Note 3,$32703.83,Note 3,$32703.83,$32703.83,$32703.83,Note 3,Note 3,$31068.63,Note 3,$27798.25,$32703.83
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$22562.25,$26543.82,Note 3,$26543.82,Note 3,Note 3,$26543.82,Note 3,Note 3,$25216.63,Note 3,Note 3,Note 3,$26543.82,Note 3,$26543.82,$26543.82,Note 3,$26543.82,Note 3,$26543.82,$26543.82,$26543.82,Note 3,Note 3,$25216.63,Note 3,$22562.25,$26543.82
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pulmonary,CMG 1504-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$21219.02,$24963.56,Note 3,$24963.56,Note 3,Note 3,$24963.56,Note 3,Note 3,$23715.38,Note 3,Note 3,Note 3,$24963.56,Note 3,$24963.56,$24963.56,Note 3,$24963.56,Note 3,$24963.56,$24963.56,$24963.56,Note 3,Note 3,$23715.38,Note 3,$21219.02,$24963.56
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$9945.23,$11700.27,Note 3,$11700.27,Note 3,Note 3,$11700.27,Note 3,Note 3,$11115.26,Note 3,Note 3,Note 3,$11700.27,Note 3,$11700.27,$11700.27,Note 3,$11700.27,Note 3,$11700.27,$11700.27,$11700.27,Note 3,Note 3,$11115.26,Note 3,$9945.23,$11700.27
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$16001.35,$18825.12,Note 3,$18825.12,Note 3,Note 3,$18825.12,Note 3,Note 3,$17883.86,Note 3,Note 3,Note 3,$18825.12,Note 3,$18825.12,$18825.12,Note 3,$18825.12,Note 3,$18825.12,$18825.12,$18825.12,Note 3,Note 3,$17883.86,Note 3,$16001.35,$18825.12
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$11886.12,$13983.67,Note 3,$13983.67,Note 3,Note 3,$13983.67,Note 3,Note 3,$13284.49,Note 3,Note 3,Note 3,$13983.67,Note 3,$13983.67,$13983.67,Note 3,$13983.67,Note 3,$13983.67,$13983.67,$13983.67,Note 3,Note 3,$13284.49,Note 3,$11886.12,$13983.67
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1601-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$10743.34,$12639.23,Note 3,$12639.23,Note 3,Note 3,$12639.23,Note 3,Note 3,$12007.27,Note 3,Note 3,Note 3,$12639.23,Note 3,$12639.23,$12639.23,Note 3,$12639.23,Note 3,$12639.23,$12639.23,$12639.23,Note 3,Note 3,$12007.27,Note 3,$10743.34,$12639.23
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$11396.01,$13407.07,Note 3,$13407.07,Note 3,Note 3,$13407.07,Note 3,Note 3,$12736.72,Note 3,Note 3,Note 3,$13407.07,Note 3,$13407.07,$13407.07,Note 3,$13407.07,Note 3,$13407.07,$13407.07,$13407.07,Note 3,Note 3,$12736.72,Note 3,$11396.01,$13407.07
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$18337.02,$21572.96,Note 3,$21572.96,Note 3,Note 3,$21572.96,Note 3,Note 3,$20494.32,Note 3,Note 3,Note 3,$21572.96,Note 3,$21572.96,$21572.96,Note 3,$21572.96,Note 3,$21572.96,$21572.96,$21572.96,Note 3,Note 3,$20494.32,Note 3,$18337.02,$21572.96
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$13620.46,$16024.07,Note 3,$16024.07,Note 3,Note 3,$16024.07,Note 3,Note 3,$15222.87,Note 3,Note 3,Note 3,$16024.07,Note 3,$16024.07,$16024.07,Note 3,$16024.07,Note 3,$16024.07,$16024.07,$16024.07,Note 3,Note 3,$15222.87,Note 3,$13620.46,$16024.07
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Pain syndrome,CMG 1602-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$12310.24,$14482.63,Note 3,$14482.63,Note 3,Note 3,$14482.63,Note 3,Note 3,$13758.50,Note 3,Note 3,Note 3,$14482.63,Note 3,$14482.63,$14482.63,Note 3,$14482.63,Note 3,$14482.63,$14482.63,$14482.63,Note 3,Note 3,$13758.50,Note 3,$12310.24,$14482.63
